i,j,t,demand
1,1,1,11022
1,1,2,11022
1,1,3,11022
1,1,4,11022
1,1,5,11022
1,1,6,11022
1,1,7,11022
1,1,8,11022
1,1,9,11022
1,1,10,11022
1,1,11,11022
1,1,12,11022
2,1,1,11022
2,1,2,11022
2,1,3,11022
2,1,4,11022
2,1,5,11022
2,1,6,11022
2,1,7,11022
2,1,8,11022
2,1,9,11022
2,1,10,11022
2,1,11,11022
2,1,12,11022
3,1,1,11022
3,1,2,11022
3,1,3,11022
3,1,4,11022
3,1,5,11022
3,1,6,11022
3,1,7,11022
3,1,8,11022
3,1,9,11022
3,1,10,11022
3,1,11,11022
3,1,12,11022
4,1,1,11022
4,1,2,11022
4,1,3,11022
4,1,4,11022
4,1,5,11022
4,1,6,11022
4,1,7,11022
4,1,8,11022
4,1,9,11022
4,1,10,11022
4,1,11,11022
4,1,12,11022
5,1,1,11022
5,1,2,11022
5,1,3,11022
5,1,4,11022
5,1,5,11022
5,1,6,11022
5,1,7,11022
5,1,8,11022
5,1,9,11022
5,1,10,11022
5,1,11,11022
5,1,12,11022
6,1,1,11022
6,1,2,11022
6,1,3,11022
6,1,4,11022
6,1,5,11022
6,1,6,11022
6,1,7,11022
6,1,8,11022
6,1,9,11022
6,1,10,11022
6,1,11,11022
6,1,12,11022
7,1,1,11022
7,1,2,11022
7,1,3,11022
7,1,4,11022
7,1,5,11022
7,1,6,11022
7,1,7,11022
7,1,8,11022
7,1,9,11022
7,1,10,11022
7,1,11,11022
7,1,12,11022
8,1,1,11022
8,1,2,11022
8,1,3,11022
8,1,4,11022
8,1,5,11022
8,1,6,11022
8,1,7,11022
8,1,8,11022
8,1,9,11022
8,1,10,11022
8,1,11,11022
8,1,12,11022
9,1,1,11022
9,1,2,11022
9,1,3,11022
9,1,4,11022
9,1,5,11022
9,1,6,11022
9,1,7,11022
9,1,8,11022
9,1,9,11022
9,1,10,11022
9,1,11,11022
9,1,12,11022
10,1,1,11022
10,1,2,11022
10,1,3,11022
10,1,4,11022
10,1,5,11022
10,1,6,11022
10,1,7,11022
10,1,8,11022
10,1,9,11022
10,1,10,11022
10,1,11,11022
10,1,12,11022
11,1,1,4580
11,1,2,4580
11,1,3,4580
11,1,4,4580
11,1,5,4580
11,1,6,4580
11,1,7,4580
11,1,8,4580
11,1,9,4580
11,1,10,4580
11,1,11,4580
11,1,12,4580
12,1,1,4580
12,1,2,4580
12,1,3,4580
12,1,4,4580
12,1,5,4580
12,1,6,4580
12,1,7,4580
12,1,8,4580
12,1,9,4580
12,1,10,4580
12,1,11,4580
12,1,12,4580
13,1,1,4580
13,1,2,4580
13,1,3,4580
13,1,4,4580
13,1,5,4580
13,1,6,4580
13,1,7,4580
13,1,8,4580
13,1,9,4580
13,1,10,4580
13,1,11,4580
13,1,12,4580
14,1,1,4580
14,1,2,4580
14,1,3,4580
14,1,4,4580
14,1,5,4580
14,1,6,4580
14,1,7,4580
14,1,8,4580
14,1,9,4580
14,1,10,4580
14,1,11,4580
14,1,12,4580
15,1,1,4580
15,1,2,4580
15,1,3,4580
15,1,4,4580
15,1,5,4580
15,1,6,4580
15,1,7,4580
15,1,8,4580
15,1,9,4580
15,1,10,4580
15,1,11,4580
15,1,12,4580
16,1,1,4580
16,1,2,4580
16,1,3,4580
16,1,4,4580
16,1,5,4580
16,1,6,4580
16,1,7,4580
16,1,8,4580
16,1,9,4580
16,1,10,4580
16,1,11,4580
16,1,12,4580
17,1,1,8298
17,1,2,8298
17,1,3,8298
17,1,4,8298
17,1,5,8298
17,1,6,8298
17,1,7,8298
17,1,8,8298
17,1,9,8298
17,1,10,8298
17,1,11,8298
17,1,12,8298
18,1,1,8298
18,1,2,8298
18,1,3,8298
18,1,4,8298
18,1,5,8298
18,1,6,8298
18,1,7,8298
18,1,8,8298
18,1,9,8298
18,1,10,8298
