i,j,t,demand
1,1,1,13015
1,1,2,13015
1,1,3,13015
1,1,4,13015
1,1,5,13015
1,1,6,13015
1,1,7,13015
1,1,8,13015
1,1,9,13015
1,1,10,13015
1,1,11,13015
1,1,12,13015
1,2,1,2025
1,2,2,2025
1,2,3,2025
1,2,4,2025
1,2,5,2025
1,2,6,2025
1,2,7,2025
1,2,8,2025
1,2,9,2025
1,2,10,2025
1,2,11,2025
1,2,12,2025
1,3,1,32
1,3,2,32
1,3,3,32
1,3,4,32
1,3,5,32
1,3,6,32
1,3,7,32
1,3,8,32
1,3,9,32
1,3,10,32
1,3,11,32
1,3,12,32
2,1,1,13015
2,1,2,13015
2,1,3,13015
2,1,4,13015
2,1,5,13015
2,1,6,13015
2,1,7,13015
2,1,8,13015
2,1,9,13015
2,1,10,13015
2,1,11,13015
2,1,12,13015
2,2,1,2025
2,2,2,2025
2,2,3,2025
2,2,4,2025
2,2,5,2025
2,2,6,2025
2,2,7,2025
2,2,8,2025
2,2,9,2025
2,2,10,2025
2,2,11,2025
2,2,12,2025
2,3,1,32
2,3,2,32
2,3,3,32
2,3,4,32
2,3,5,32
2,3,6,32
2,3,7,32
2,3,8,32
2,3,9,32
2,3,10,32
2,3,11,32
2,3,12,32
3,1,1,13015
3,1,2,13015
3,1,3,13015
3,1,4,13015
3,1,5,13015
3,1,6,13015
3,1,7,13015
3,1,8,13015
3,1,9,13015
3,1,10,13015
3,1,11,13015
3,1,12,13015
3,2,1,2025
3,2,2,2025
3,2,3,2025
3,2,4,2025
3,2,5,2025
3,2,6,2025
3,2,7,2025
3,2,8,2025
3,2,9,2025
3,2,10,2025
3,2,11,2025
3,2,12,2025
3,3,1,32
3,3,2,32
3,3,3,32
3,3,4,32
3,3,5,32
3,3,6,32
3,3,7,32
3,3,8,32
3,3,9,32
3,3,10,32
3,3,11,32
3,3,12,32
4,1,1,13015
4,1,2,13015
4,1,3,13015
4,1,4,13015
4,1,5,13015
4,1,6,13015
4,1,7,13015
4,1,8,13015
4,1,9,13015
4,1,10,13015
4,1,11,13015
4,1,12,13015
4,2,1,2025
4,2,2,2025
4,2,3,2025
4,2,4,2025
4,2,5,2025
4,2,6,2025
4,2,7,2025
4,2,8,2025
4,2,9,2025
4,2,10,2025
4,2,11,2025
4,2,12,2025
4,3,1,32
4,3,2,32
4,3,3,32
4,3,4,32
4,3,5,32
4,3,6,32
4,3,7,32
4,3,8,32
4,3,9,32
4,3,10,32
4,3,11,32
4,3,12,32
5,1,1,13015
5,1,2,13015
5,1,3,13015
5,1,4,13015
5,1,5,13015
5,1,6,13015
5,1,7,13015
5,1,8,13015
5,1,9,13015
5,1,10,13015
5,1,11,13015
5,1,12,13015
5,2,1,2025
5,2,2,2025
5,2,3,2025
5,2,4,2025
5,2,5,2025
5,2,6,2025
5,2,7,2025
5,2,8,2025
5,2,9,2025
5,2,10,2025
5,2,11,2025
5,2,12,2025
5,3,1,32
5,3,2,32
5,3,3,32
5,3,4,32
5,3,5,32
5,3,6,32
5,3,7,32
5,3,8,32
5,3,9,32
5,3,10,32
5,3,11,32
5,3,12,32
6,1,1,13015
6,1,2,13015
6,1,3,13015
6,1,4,13015
6,1,5,13015
6,1,6,13015
6,1,7,13015
6,1,8,13015
6,1,9,13015
6,1,10,13015
6,1,11,13015
6,1,12,13015
6,2,1,2025
6,2,2,2025
6,2,3,2025
6,2,4,2025
6,2,5,2025
6,2,6,2025
6,2,7,2025
6,2,8,2025
6,2,9,2025
6,2,10,2025
6,2,11,2025
6,2,12,2025
6,3,1,32
6,3,2,32
6,3,3,32
6,3,4,32
6,3,5,32
6,3,6,32
6,3,7,32
6,3,8,32
6,3,9,32
6,3,10,32
6,3,11,32
6,3,12,32
7,1,1,13015
7,1,2,13015
7,1,3,13015
7,1,4,13015
7,1,5,13015
7,1,6,13015
7,1,7,13015
7,1,8,13015
7,1,9,13015
7,1,10,13015
7,1,11,13015
7,1,12,13015
7,2,1,2025
7,2,2,2025
7,2,3,2025
7,2,4,2025
7,2,5,2025
7,2,6,2025
7,2,7,2025
7,2,8,2025
7,2,9,2025
7,2,10,2025
7,2,11,2025
7,2,12,2025
7,3,1,32
7,3,2,32
7,3,3,32
7,3,4,32
7,3,5,32
7,3,6,32
7,3,7,32
7,3,8,32
7,3,9,32
7,3,10,32
7,3,11,32
7,3,12,32
8,1,1,13015
8,1,2,13015
8,1,3,13015
8,1,4,13015
8,1,5,13015
8,1,6,13015
8,1,7,13015
8,1,8,13015
8,1,9,13015
8,1,10,13015
8,1,11,13015
8,1,12,13015
8,2,1,2025
8,2,2,2025
8,2,3,2025
8,2,4,2025
8,2,5,2025
8,2,6,2025
8,2,7,2025
8,2,8,2025
8,2,9,2025
8,2,10,2025
8,2,11,2025
8,2,12,2025
8,3,1,32
8,3,2,32
8,3,3,32
8,3,4,32
