i,j,t,demand
1,8,1,468
1,8,2,468
1,8,3,468
1,8,4,468
1,8,5,468
1,8,6,468
1,8,7,468
1,8,8,468
1,8,9,468
1,8,10,468
1,8,11,468
1,8,12,468
1,9,1,8
1,9,2,8
1,9,3,8
1,9,4,8
1,9,5,8
1,9,6,8
1,9,7,8
1,9,8,8
1,9,9,8
1,9,10,8
1,9,11,8
1,9,12,8
2,8,1,468
2,8,2,468
2,8,3,468
2,8,4,468
2,8,5,468
2,8,6,468
2,8,7,468
2,8,8,468
2,8,9,468
2,8,10,468
2,8,11,468
2,8,12,468
2,9,1,8
2,9,2,8
2,9,3,8
2,9,4,8
2,9,5,8
2,9,6,8
2,9,7,8
2,9,8,8
2,9,9,8
2,9,10,8
2,9,11,8
2,9,12,8
3,8,1,468
3,8,2,468
3,8,3,468
3,8,4,468
3,8,5,468
3,8,6,468
3,8,7,468
3,8,8,468
3,8,9,468
3,8,10,468
3,8,11,468
3,8,12,468
3,9,1,8
3,9,2,8
3,9,3,8
3,9,4,8
3,9,5,8
3,9,6,8
3,9,7,8
3,9,8,8
3,9,9,8
3,9,10,8
3,9,11,8
3,9,12,8
4,8,1,468
4,8,2,468
4,8,3,468
4,8,4,468
4,8,5,468
4,8,6,468
4,8,7,468
4,8,8,468
4,8,9,468
4,8,10,468
4,8,11,468
4,8,12,468
4,9,1,8
4,9,2,8
4,9,3,8
4,9,4,8
4,9,5,8
4,9,6,8
4,9,7,8
4,9,8,8
4,9,9,8
4,9,10,8
4,9,11,8
4,9,12,8
5,8,1,468
5,8,2,468
5,8,3,468
5,8,4,468
5,8,5,468
5,8,6,468
5,8,7,468
5,8,8,468
5,8,9,468
5,8,10,468
5,8,11,468
5,8,12,468
5,9,1,8
5,9,2,8
5,9,3,8
5,9,4,8
5,9,5,8
5,9,6,8
5,9,7,8
5,9,8,8
5,9,9,8
5,9,10,8
5,9,11,8
5,9,12,8
6,8,1,468
6,8,2,468
6,8,3,468
6,8,4,468
6,8,5,468
6,8,6,468
6,8,7,468
6,8,8,468
6,8,9,468
6,8,10,468
6,8,11,468
6,8,12,468
6,9,1,8
6,9,2,8
6,9,3,8
6,9,4,8
6,9,5,8
6,9,6,8
6,9,7,8
6,9,8,8
6,9,9,8
6,9,10,8
6,9,11,8
6,9,12,8
7,8,1,468
7,8,2,468
7,8,3,468
7,8,4,468
7,8,5,468
7,8,6,468
7,8,7,468
7,8,8,468
7,8,9,468
7,8,10,468
7,8,11,468
7,8,12,468
7,9,1,8
7,9,2,8
7,9,3,8
7,9,4,8
7,9,5,8
7,9,6,8
7,9,7,8
7,9,8,8
7,9,9,8
7,9,10,8
7,9,11,8
7,9,12,8
8,8,1,468
8,8,2,468
8,8,3,468
8,8,4,468
8,8,5,468
8,8,6,468
8,8,7,468
8,8,8,468
8,8,9,468
8,8,10,468
8,8,11,468
8,8,12,468
8,9,1,8
8,9,2,8
8,9,3,8
8,9,4,8
8,9,5,8
8,9,6,8
8,9,7,8
8,9,8,8
8,9,9,8
8,9,10,8
8,9,11,8
8,9,12,8
9,8,1,468
9,8,2,468
9,8,3,468
9,8,4,468
9,8,5,468
9,8,6,468
9,8,7,468
9,8,8,468
9,8,9,468
9,8,10,468
9,8,11,468
9,8,12,468
9,9,1,8
9,9,2,8
9,9,3,8
9,9,4,8
9,9,5,8
9,9,6,8
9,9,7,8
9,9,8,8
9,9,9,8
9,9,10,8
9,9,11,8
9,9,12,8
10,8,1,468
10,8,2,468
10,8,3,468
10,8,4,468
10,8,5,468
10,8,6,468
10,8,7,468
10,8,8,468
10,8,9,468
10,8,10,468
10,8,11,468
10,8,12,468
10,9,1,8
10,9,2,8
10,9,3,8
10,9,4,8
10,9,5,8
10,9,6,8
10,9,7,8
10,9,8,8
10,9,9,8
10,9,10,8
10,9,11,8
10,9,12,8
11,8,1,195
11,8,2,195
11,8,3,195
11,8,4,195
11,8,5,195
11,8,6,195
11,8,7,195
11,8,8,195
11,8,9,195
11,8,10,195
11,8,11,195
11,8,12,195
11,9,1,4
11,9,2,4
11,9,3,4
11,9,4,4
11,9,5,4
11,9,6,4
11,9,7,4
11,9,8,4
11,9,9,4
11,9,10,4
11,9,11,4
11,9,12,4
12,8,1,195
12,8,2,195
12,8,3,195
12,8,4,195
12,8,5,195
12,8,6,195
12,8,7,195
12,8,8,195
12,8,9,195
12,8,10,195
12,8,11,195
12,8,12,195
12,9,1,4
12,9,2,4
12,9,3,4
12,9,4,4
12,9,5,4
12,9,6,4
12,9,7,4
12,9,8,4
12,9,9,4
12,9,10,4
12,9,11,4
12,9,12,4
13,8,1,195
13,8,2,195
13,8,3,195
13,8,4,195
13,8,5,195
13,8,6,195
13,8,7,195
13,8,8,195
13,8,9,195
13,8,10,195
13,8,11,195
13,8,12,195
13,9,1,4
13,9,2,4
13,9,3,4
13,9,4,4
13,9,5,4
13,9,6,4
13,9,7,4
13,9,8,4
13,9,9,4
13,9,10,4
13,9,11,4
13,9,12,4
14,8,1,195
14,8,2,195
14,8,3,195
14,8,4,195
14,8,5,195
14,8,6,195
14,8,7,195
14,8,8,195
14,8,9,195
14,8,10,195
14,8,11,195
14,8,12,195
14,9,1,4
14,9,2,4
14,9,3,4
14,9,4,4
14,9,5,4
14,9,6,4
14,9,7,4
14,9,8,4
14,9,9,4
14,9,10,4
14,9,11,4
14,9,12,4
15,8,1,195
15,8,2,195
15,8,3,195
15,8,4,195
15,8,5,195
15,8,6,195
15,8,7,195
15,8,8,195
15,8,9,195
15,8,10,195
15,8,11,195
15,8,12,195
15,9,1,4
15,9,2,4
15,9,3,4
15,9,4,4
15,9,5,4
15,9,6,4
15,9,7,4
15,9,8,4
15,9,9,4
15,9,10,4
15,9,11,4
15,9,12,4
16,8,1,195
16,8,2,195
16,8,3,195
16,8,4,195
16,8,5,195
