d,t,Capacity
1,1,72727
1,2,72727
1,3,72727
1,4,72727
1,5,72727
1,6,72727
1,7,72727
1,8,72727
1,9,72727
1,10,72727
1,11,72727
1,12,72727
2,1,156061
2,2,156061
2,3,156061
2,4,156061
2,5,156061
2,6,156061
2,7,156061
2,8,156061
2,9,156061
2,10,156061
2,11,156061
2,12,156061
3,1,333333
3,2,333333
3,3,333333
3,4,333333
3,5,333333
3,6,333333
3,7,333333
3,8,333333
3,9,333333
3,10,333333
3,11,333333
3,12,333333
4,1,118182
4,2,118182
4,3,118182
4,4,118182
4,5,118182
4,6,118182
4,7,118182
4,8,118182
4,9,118182
4,10,118182
4,11,118182
4,12,118182
5,1,421212
5,2,421212
5,3,421212
5,4,421212
5,5,421212
5,6,421212
5,7,421212
5,8,421212
5,9,421212
5,10,421212
5,11,421212
5,12,421212
6,1,187879
6,2,187879
6,3,187879
6,4,187879
6,5,187879
6,6,187879
6,7,187879
6,8,187879
6,9,187879
6,10,187879
6,11,187879
6,12,187879
7,1,201515
7,2,201515
7,3,201515
7,4,201515
7,5,201515
7,6,201515
7,7,201515
7,8,201515
7,9,201515
7,10,201515
7,11,201515
7,12,201515
8,1,65152
8,2,65152
8,3,65152
8,4,65152
8,5,65152
8,6,65152
8,7,65152
8,8,65152
8,9,65152
8,10,65152
8,11,65152
8,12,65152
9,1,115152
9,2,115152
9,3,115152
9,4,115152
9,5,115152
9,6,115152
9,7,115152
9,8,115152
9,9,115152
9,10,115152
9,11,115152
9,12,115152
10,1,142424
10,2,142424
10,3,142424
10,4,142424
10,5,142424
10,6,142424
10,7,142424
10,8,142424
10,9,142424
10,10,142424
10,11,142424
10,12,142424
11,1,131818
11,2,131818
11,3,131818
11,4,131818
11,5,131818
11,6,131818
11,7,131818
11,8,131818
11,9,131818
11,10,131818
11,11,131818
11,12,131818
12,1,163636
12,2,163636
12,3,163636
12,4,163636
12,5,163636
12,6,163636
12,7,163636
12,8,163636
12,9,163636
12,10,163636
12,11,163636
12,12,163636
13,1,201515
13,2,201515
13,3,201515
13,4,201515
13,5,201515
13,6,201515
13,7,201515
13,8,201515
13,9,201515
13,10,201515
13,11,201515
13,12,201515
14,1,131818
14,2,131818
14,3,131818
14,4,131818
14,5,131818
14,6,131818
14,7,131818
14,8,131818
14,9,131818
14,10,131818
14,11,131818
14,12,131818
15,1,201515
15,2,201515
15,3,201515
15,4,201515
15,5,201515
15,6,201515
15,7,201515
15,8,201515
15,9,201515
15,10,201515
15,11,201515
15,12,201515
16,1,215152
16,2,215152
16,3,215152
16,4,215152
16,5,215152
16,6,215152
16,7,215152
16,8,215152
16,9,215152
16,10,215152
16,11,215152
16,12,215152
17,1,201515
17,2,201515
17,3,201515
17,4,201515
17,5,201515
17,6,201515
17,7,201515
17,8,201515
17,9,201515
17,10,201515
17,11,201515
17,12,201515
18,1,177273
18,2,177273
18,3,177273
18,4,177273
18,5,177273
18,6,177273
18,7,177273
18,8,177273
18,9,177273
18,10,177273
18,11,177273
18,12,177273
19,1,163636
19,2,163636
19,3,163636
19,4,163636
19,5,163636
19,6,163636
19,7,163636
19,8,163636
19,9,163636
19,10,163636
19,11,163636
19,12,163636
20,1,128788
20,2,128788
20,3,128788
20,4,128788
20,5,128788
20,6,128788
20,7,128788
20,8,128788
20,9,128788
20,10,128788
20,11,128788
20,12,128788
21,1,242424
21,2,242424
21,3,242424
21,4,242424
21,5,242424
21,6,242424
21,7,242424
21,8,242424
21,9,242424
21,10,242424
21,11,242424
21,12,242424
22,1,131818
22,2,131818
22,3,131818
22,4,131818
22,5,131818
22,6,131818
22,7,131818
22,8,131818
22,9,131818
22,10,131818
22,11,131818
22,12,131818
23,1,219697
23,2,219697
23,3,219697
23,4,219697
23,5,219697
23,6,219697
23,7,219697
23,8,219697
23,9,219697
23,10,219697
23,11,219697
23,12,219697
24,1,222727
24,2,222727
24,3,222727
24,4,222727
24,5,222727
24,6,222727
24,7,222727
24,8,222727
24,9,222727
24,10,222727
24,11,222727
24,12,222727
25,1,281818
25,2,281818
25,3,281818
25,4,281818
25,5,281818
25,6,281818
25,7,281818
25,8,281818
25,9,281818
25,10,281818
25,11,281818
25,12,281818
26,1,242424
26,2,242424
26,3,242424
26,4,242424
26,5,242424
26,6,242424
26,7,242424
26,8,242424
26,9,242424
26,10,242424
26,11,242424
26,12,242424
27,1,156061
27,2,156061
27,3,156061
27,4,156061
27,5,156061
27,6,156061
27,7,156061
27,8,156061
27,9,156061
27,10,156061
27,11,156061
27,12,156061
28,1,156061
28,2,156061
28,3,156061
28,4,156061
28,5,156061
28,6,156061
28,7,156061
28,8,156061
28,9,156061
28,10,156061
28,11,156061
28,12,156061
29,1,177273
29,2,177273
29,3,177273
29,4,177273
29,5,177273
29,6,177273
29,7,177273
29,8,177273
29,9,177273
29,10,177273
29,11,177273
29,12,177273
30,1,330303
30,2,330303
30,3,330303
30,4,330303
30,5,330303
30,6,330303
30,7,330303
30,8,330303
30,9,330303
30,10,330303
30,11,330303
30,12,330303
31,1,96970
31,2,96970
31,3,96970
31,4,96970
31,5,96970
31,6,96970
31,7,96970
31,8,96970
31,9,96970
31,10,96970
31,11,96970
31,12,96970
32,1,187879
32,2,187879
32,3,187879
32,4,187879
32,5,187879
32,6,187879
32,7,187879
32,8,187879
32,9,187879
32,10,187879
32,11,187879
32,12,187879
33,1,96970
33,2,96970
33,3,96970
33,4,96970
33,5,96970
33,6,96970
33,7,96970
33,8,96970
33,9,96970
33,10,96970
33,11,96970
33,12,96970
34,1,65152
34,2,65152
34,3,65152
34,4,65152
34,5,65152
34,6,65152
34,7,65152
34,8,65152
34,9,65152
34,10,65152
34,11,65152
34,12,65152
35,1,190909
35,2,190909
35,3,190909
35,4,190909
35,5,190909
35,6,190909
35,7,190909
35,8,190909
35,9,190909
35,10,190909
35,11,190909
35,12,190909
36,1,177273
36,2,177273
36,3,177273
36,4,177273
36,5,177273
36,6,177273
36,7,177273
36,8,177273
36,9,177273
36,10,177273
36,11,177273
36,12,177273
37,1,322727
37,2,322727
37,3,322727
37,4,322727
37,5,322727
37,6,322727
37,7,322727
37,8,322727
37,9,322727
37,10,322727
37,11,322727
37,12,322727
38,1,190909
38,2,190909
38,3,190909
38,4,190909
38,5,190909
38,6,190909
38,7,190909
38,8,190909
38,9,190909
38,10,190909
38,11,190909
38,12,190909
