i,j,demand
1,1,156176
1,2,166587
1,3,24294
2,1,156176
2,2,166587
2,3,24294
3,1,156176
3,2,166587
3,3,24294
4,1,156176
4,2,166587
4,3,24294
5,1,156176
5,2,166587
5,3,24294
6,1,156176
6,2,166587
6,3,24294
7,1,156176
7,2,166587
7,3,24294
8,1,156176
8,2,166587
8,3,24294
9,1,156176
9,2,166587
9,3,24294
10,1,156176
10,2,166587
10,3,24294
11,1,64883
11,2,69209
11,3,10093
12,1,64883
12,2,69209
12,3,10093
13,1,64883
13,2,69209
13,3,10093
14,1,64883
14,2,69209
14,3,10093
15,1,64883
15,2,69209
15,3,10093
16,1,64883
16,2,69209
16,3,10093
17,1,117579
17,2,125418
17,3,18290
18,1,117579
18,2,125418
18,3,18290
19,1,117579
19,2,125418
19,3,18290
20,1,117579
20,2,125418
20,3,18290
21,1,117579
21,2,125418
21,3,18290
22,1,117579
22,2,125418
22,3,18290
23,1,117579
23,2,125418
23,3,18290
24,1,117579
24,2,125418
24,3,18290
25,1,117579
25,2,125418
25,3,18290
26,1,117579
26,2,125418
26,3,18290
27,1,117579
27,2,125418
27,3,18290
28,1,117579
28,2,125418
28,3,18290
29,1,94189
29,2,100467
29,3,14652
30,1,94189
30,2,100467
30,3,14652
31,1,94189
31,2,100467
31,3,14652
32,1,94189
32,2,100467
32,3,14652
33,1,94189
33,2,100467
33,3,14652
34,1,94189
34,2,100467
34,3,14652
35,1,94189
35,2,100467
35,3,14652
36,1,94189
36,2,100467
36,3,14652
37,1,94189
37,2,100467
37,3,14652
38,1,94189
38,2,100467
38,3,14652
39,1,94189
39,2,100467
39,3,14652
40,1,94189
40,2,100467
40,3,14652
41,1,86845
41,2,92635
41,3,13509
42,1,86845
42,2,92635
42,3,13509
43,1,86845
43,2,92635
43,3,13509
44,1,86845
44,2,92635
44,3,13509
45,1,86845
45,2,92635
45,3,13509
46,1,86845
46,2,92635
46,3,13509
47,1,86845
47,2,92635
47,3,13509
48,1,86845
48,2,92635
48,3,13509
49,1,86845
49,2,92635
49,3,13509
50,1,86845
50,2,92635
50,3,13509
51,1,86845
51,2,92635
51,3,13509
52,1,86845
52,2,92635
52,3,13509
53,1,86845
53,2,92635
53,3,13509
54,1,86845
54,2,92635
54,3,13509
55,1,86845
55,2,92635
55,3,13509
56,1,86845
56,2,92635
56,3,13509
57,1,86845
57,2,92635
57,3,13509
58,1,86845
58,2,92635
58,3,13509
59,1,86845
59,2,92635
59,3,13509
60,1,99259
60,2,105877
60,3,15440
61,1,99259
61,2,105877
61,3,15440
62,1,99259
62,2,105877
62,3,15440
63,1,99259
63,2,105877
63,3,15440
64,1,99259
64,2,105877
64,3,15440
65,1,99259
65,2,105877
65,3,15440
66,1,99259
66,2,105877
66,3,15440
67,1,99259
67,2,105877
67,3,15440
68,1,99259
68,2,105877
68,3,15440
69,1,99259
69,2,105877
69,3,15440
70,1,99259
70,2,105877
70,3,15440
71,1,99259
71,2,105877
71,3,15440
72,1,99259
72,2,105877
72,3,15440
73,1,99259
73,2,105877
73,3,15440
74,1,99259
74,2,105877
74,3,15440
75,1,99259
75,2,105877
75,3,15440
76,1,99259
76,2,105877
76,3,15440
77,1,94722
77,2,101037
77,3,14735
78,1,94722
78,2,101037
78,3,14735
79,1,94722
79,2,101037
79,3,14735
80,1,94722
80,2,101037
80,3,14735
81,1,94722
81,2,101037
81,3,14735
82,1,94722
82,2,101037
82,3,14735
83,1,94722
83,2,101037
83,3,14735
84,1,94722
84,2,101037
84,3,14735
85,1,94722
85,2,101037
85,3,14735
86,1,94722
86,2,101037
86,3,14735
87,1,94722
87,2,101037
87,3,14735
88,1,94722
88,2,101037
88,3,14735
89,1,94722
89,2,101037
89,3,14735
90,1,94722
90,2,101037
90,3,14735
91,1,94722
91,2,101037
91,3,14735
92,1,94722
92,2,101037
92,3,14735
93,1,86167
93,2,91911
93,3,13404
94,1,86167
94,2,91911
94,3,13404
95,1,86167
95,2,91911
95,3,13404
96,1,86167
96,2,91911
96,3,13404
97,1,86167
97,2,91911
97,3,13404
98,1,86167
98,2,91911
98,3,13404
99,1,86167
99,2,91911
99,3,13404
100,1,86167
100,2,91911
100,3,13404
101,1,86167
101,2,91911
101,3,13404
102,1,86167
102,2,91911
102,3,13404
103,1,86167
103,2,91911
103,3,13404
104,1,109356
104,2,116646
104,3,17011
105,1,109356
105,2,116646
105,3,17011
106,1,109356
106,2,116646
106,3,17011
107,1,109356
107,2,116646
107,3,17011
108,1,109356
108,2,116646
108,3,17011
109,1,109356
109,2,116646
109,3,17011
110,1,109356
110,2,116646
110,3,17011
111,1,109356
111,2,116646
111,3,17011
112,1,109356
112,2,116646
112,3,17011
113,1,109356
113,2,116646
113,3,17011
114,1,109356
114,2,116646
114,3,17011
115,1,109356
115,2,116646
115,3,17011
116,1,109356
116,2,116646
116,3,17011
117,1,109356
117,2,116646
117,3,17011
118,1,109356
118,2,116646
118,3,17011
119,1,109356
119,2,116646
119,3,17011
120,1,109356
120,2,116646
120,3,17011
121,1,109356
121,2,116646
121,3,17011
122,1,109356
122,2,116646
122,3,17011
123,1,109356
123,2,116646
123,3,17011
124,1,101163
124,2,107908
124,3,15736
125,1,101163
125,2,107908
125,3,15736
126,1,101163
126,2,107908
126,3,15736
127,1,101163
127,2,107908
127,3,15736
128,1,101163
128,2,107908
128,3,15736
129,1,101163
129,2,107908
129,3,15736
130,1,101163
130,2,107908
130,3,15736
131,1,101163
131,2,107908
131,3,15736
132,1,101163
132,2,107908
132,3,15736
133,1,101163
133,2,107908
133,3,15736
134,1,101163
134,2,107908
134,3,15736
135,1,101163
135,2,107908
135,3,15736
136,1,101163
136,2,107908
136,3,15736
137,1,101163
137,2,107908
137,3,15736
138,1,101163
138,2,107908
138,3,15736
139,1,101163
139,2,107908
139,3,15736
140,1,101163
140,2,107908
140,3,15736
141,1,101163
141,2,107908
141,3,15736
142,1,101163
142,2,107908
142,3,15736
143,1,101163
143,2,107908
143,3,15736
144,1,101163
144,2,107908
144,3,15736
145,1,101163
145,2,107908
145,3,15736
146,1,101163
146,2,107908
146,3,15736
147,1,101163
147,2,107908
147,3,15736
148,1,101163
148,2,107908
148,3,15736
149,1,101163
149,2,107908
149,3,15736
150,1,101163
150,2,107908
150,3,15736
151,1,101163
151,2,107908
151,3,15736
152,1,90345
152,2,96368
152,3,14054
153,1,90345
153,2,96368
153,3,14054
154,1,90345
154,2,96368
154,3,14054
155,1,90345
155,2,96368
155,3,14054
156,1,90345
156,2,96368
156,3,14054
157,1,90345
157,2,96368
157,3,14054
158,1,90345
158,2,96368
158,3,14054
159,1,90345
159,2,96368
159,3,14054
160,1,90345
160,2,96368
160,3,14054
161,1,90345
161,2,96368
161,3,14054
162,1,90345
162,2,96368
162,3,14054
163,1,90345
163,2,96368
163,3,14054
164,1,90345
164,2,96368
164,3,14054
165,1,90345
165,2,96368
165,3,14054
166,1,90345
166,2,96368
166,3,14054
167,1,90345
167,2,96368
167,3,14054
168,1,90345
168,2,96368
168,3,14054
169,1,90345
169,2,96368
169,3,14054
170,1,90345
170,2,96368
170,3,14054
171,1,90345
171,2,96368
171,3,14054
172,1,90345
172,2,96368
172,3,14054
173,1,90345
173,2,96368
173,3,14054
174,1,90345
174,2,96368
174,3,14054
175,1,90345
175,2,96368
175,3,14054
176,1,90345
176,2,96368
176,3,14054
177,1,90345
177,2,96368
177,3,14054
178,1,90345
178,2,96368
178,3,14054
179,1,88946
179,2,94876
179,3,13836
180,1,88946
180,2,94876
180,3,13836
181,1,88946
181,2,94876
181,3,13836
182,1,88946
182,2,94876
182,3,13836
183,1,88946
183,2,94876
183,3,13836
184,1,88946
184,2,94876
184,3,13836
185,1,88946
185,2,94876
185,3,13836
186,1,88946
186,2,94876
186,3,13836
187,1,88946
187,2,94876
187,3,13836
188,1,88946
188,2,94876
188,3,13836
189,1,88946
189,2,94876
189,3,13836
190,1,88946
190,2,94876
190,3,13836
191,1,88946
191,2,94876
191,3,13836
192,1,88946
192,2,94876
192,3,13836
193,1,88946
193,2,94876
193,3,13836
194,1,88946
194,2,94876
194,3,13836
195,1,88897
195,2,94823
195,3,13828
196,1,88897
196,2,94823
196,3,13828
197,1,88897
197,2,94823
197,3,13828
198,1,88897
198,2,94823
198,3,13828
199,1,88897
199,2,94823
199,3,13828
200,1,88897
200,2,94823
200,3,13828
201,1,88897
201,2,94823
201,3,13828
202,1,88897
202,2,94823
202,3,13828
203,1,88897
203,2,94823
203,3,13828
204,1,88897
204,2,94823
204,3,13828
205,1,88897
205,2,94823
205,3,13828
206,1,78130
206,2,83338
206,3,12154
207,1,78130
