,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
,DVS/DVS,"Araria , Bihar, India","Arwal , Bihar, India","Aurangabad , Bihar, India","Banka , Bihar, India","Begusarai , Bihar, India","Bhagalpur , Bihar, India","Bhojpur , Bihar, India","Buxar , Bihar, India","Darbhanga , Bihar, India","East Champaran , Bihar, India","Gaya , Bihar, India","Gopalganj , Bihar, India","Jamui , Bihar, India","Jehanabad , Bihar, India","Kaimur , Bihar, India","Katihar , Bihar, India","Khagaria , Bihar, India","Kishanganj , Bihar, India","Lakhisarai , Bihar, India","Madhepura , Bihar, India","Madhubani , Bihar, India","Munger , Bihar, India","Muzaffarpur , Bihar, India","Nalanda , Bihar, India","Nawada , Bihar, India","Patna , Bihar, India","Purnia , Bihar, India","Rohtas , Bihar, India","Saharsa , Bihar, India","Samastipur , Bihar, India","Saran , Bihar, India","Sheikhpura , Bihar, India","Sheohar , Bihar, India","Sitamarhi , Bihar, India","Siwan , Bihar, India","Supaul , Bihar, India","Vaishali , Bihar, India","West Champaran , Bihar, India"
3,"Aurangabad , Bihar, India",456.6,69.905,0,321.896,264.535,327.79,115.495,124.482,278.276,288.212,88.481,253.904,215.447,105.349,91.78,440.295,306.608,527.99,215.012,386.372,309.681,266.403,210.063,148.373,139.21,128.538,445.899,102.148,322.714,222.889,191.721,189.505,261.12,266.414,210.11,400.276,185.471,338.429
2,"Arwal , Bihar, India",386.767,0,70.362,287.805,194.702,267.88,48.632,102.085,208.443,218.379,81.482,184.071,179.952,35.443,133.556,370.462,236.775,458.157,155.102,316.539,239.848,206.493,140.23,93.113,126.281,58.705,376.066,143.32,252.881,153.056,121.888,132.103,191.287,196.581,140.277,330.443,115.638,268.596
11,"Gaya , Bihar, India",417.875,81.473,91.435,240.109,162.855,240.445,128.939,158.39,239.551,249.487,0,246.609,132.256,48.896,181.694,338.615,204.928,406.326,127.667,284.692,270.956,179.058,171.338,61.028,56.019,92.843,344.219,192.062,291.805,184.164,211.814,102.16,222.395,227.689,230.203,319.459,148.304,333.071
15,"Kaimur , Bihar, India",498.644,132.975,92.125,413.896,311.758,437.531,134.675,77.888,320.32,298.029,180.481,253.214,307.447,168.419,0,487.518,353.831,570.034,307.012,472.539,351.725,358.403,252.107,240.373,231.21,181.861,549.554,93.603,372.566,272.494,215.832,281.505,303.239,308.458,210.623,442.32,230.646,311.294
28,"Rohtas , Bihar, India",529.982,143.287,102.749,424.52,337.917,430.414,176.118,152.36,351.658,339.472,191.105,319.458,318.071,178.731,93.603,513.677,379.99,601.372,317.636,459.754,383.063,369.027,283.445,250.997,241.834,201.92,519.281,0,396.096,296.271,257.275,292.129,334.502,339.796,275.664,473.658,258.853,403.983
14,"Jehanabad , Bihar, India",365.095,35.941,105.013,252.518,146.334,232.593,80.886,136.86,186.771,196.707,49.389,183.353,144.665,0,168.331,322.094,188.407,389.805,119.815,268.171,218.176,171.206,118.558,57.826,90.994,44.103,327.698,178.095,275.284,131.384,148.558,96.816,169.615,174.909,166.947,308.771,95.524,280.291
7,"Bhojpur , Bihar, India",365.669,48.565,115.963,330.998,178.783,304.556,0,77.757,187.345,165.054,130.048,145.04,223.145,84.009,134.642,354.543,220.856,437.059,198.295,339.564,218.75,231.57,119.132,144.042,168.886,48.886,416.579,176.084,239.591,139.519,82.857,175.296,170.264,175.483,101.246,309.345,97.671,229.565
8,"Buxar , Bihar, India",436.674,102.027,125.545,403.788,251.573,377.346,77.087,0,258.35,213.895,158.357,177.097,295.935,137.471,77.909,427.333,293.646,508.064,271.085,410.569,289.755,304.36,190.137,216.832,241.676,121.676,487.584,152.975,351.682,212.309,124.248,248.086,241.269,246.488,134.506,380.35,168.676,235.177
26,"Patna , Bihar, India",330.261,58.706,128.996,276.096,135.567,261.34,48.819,121.644,151.937,161.873,92.841,144.515,168.243,46.816,181.793,311.327,177.64,401.651,143.393,218.276,183.342,199.182,83.724,89.14,113.984,0,316.931,201.954,196.375,96.55,109.72,120.394,134.781,140.075,128.109,273.937,60.69,245.457
