49,Araria ,Araria Sadar Hospital DH,"Araria Sadar Hospital DH, Araria "
50,Araria ,Araria Sadar PHC,"Araria Sadar PHC, Araria "
51,Araria ,Bhargama PHC,"Bhargama PHC, Araria "
52,Araria ,Forbesganj SDH,"Forbesganj SDH, Araria "
53,Araria ,Jokihat Referral Hospital,"Jokihat Referral Hospital, Araria "
54,Araria ,Kursakata PHC,"Kursakata PHC, Araria "
55,Araria ,Nartpatganj PHC,"Nartpatganj PHC, Araria "
56,Araria ,Palasi PHC,"Palasi PHC, Araria "
57,Araria ,Raniganj Referral Hospital,"Raniganj Referral Hospital, Araria "
58,Araria ,Sikti PHC,"Sikti PHC, Araria "
59,Arwal ,Arwal PHC,"Arwal PHC, Arwal "
60,Arwal ,Arwal Sadar Hospital DH,"Arwal Sadar Hospital DH, Arwal "
61,Arwal ,Kaler PHC,"Kaler PHC, Arwal "
62,Arwal ,Karpi PHC,"Karpi PHC, Arwal "
63,Arwal ,Kurtha PHC,"Kurtha PHC, Arwal "
64,Arwal ,Sonbhadra Bansi Suryapur PHC,"Sonbhadra Bansi Suryapur PHC, Arwal "
65,Aurangabad ,Barun PHC,"Barun PHC, Aurangabad "
66,Aurangabad ,Daudnagar PHC,"Daudnagar PHC, Aurangabad "
67,Aurangabad ,Deo PHC,"Deo PHC, Aurangabad "
68,Aurangabad ,Goh PHC,"Goh PHC, Aurangabad "
69,Aurangabad ,Haspura PHC,"Haspura PHC, Aurangabad "
70,Aurangabad ,Aurangabad PHC,"Aurangabad PHC, Aurangabad "
71,Aurangabad ,Kutumba PHC,"Kutumba PHC, Aurangabad "
72,Aurangabad ,Madanpur PHC,"Madanpur PHC, Aurangabad "
73,Aurangabad ,Nabinagar PHC,"Nabinagar PHC, Aurangabad "
74,Aurangabad ,Naughrah APHC,"Naughrah APHC, Aurangabad "
75,Aurangabad ,Obra PHC,"Obra PHC, Aurangabad "
76,Aurangabad ,Rafganj PHC,"Rafganj PHC, Aurangabad "
77,Banka ,Amarpur PHC,"Amarpur PHC, Banka "
78,Banka ,Banka DH,"Banka DH, Banka "
79,Banka ,Banka Sadar PHC,"Banka Sadar PHC, Banka "
80,Banka ,Barahat PHC,"Barahat PHC, Banka "
81,Banka ,Baunsi PHC,"Baunsi PHC, Banka "
82,Banka ,Belhar PHC,"Belhar PHC, Banka "
83,Banka ,Chandan PHC,"Chandan PHC, Banka "
84,Banka ,Dhoraiya PHC,"Dhoraiya PHC, Banka "
85,Banka ,Fullidumar PHC,"Fullidumar PHC, Banka "
86,Banka ,Katoriya RH,"Katoriya RH, Banka "
87,Banka ,Rajoun PHC,"Rajoun PHC, Banka "
88,Banka ,Shambhuganj PHC,"Shambhuganj PHC, Banka "
89,Begusarai ,Bachwara PHC,"Bachwara PHC, Begusarai "
90,Begusarai ,Bakhari PHC,"Bakhari PHC, Begusarai "
91,Begusarai ,Baliya PHC,"Baliya PHC, Begusarai "
92,Begusarai ,Barauni PHC,"Barauni PHC, Begusarai "
93,Begusarai ,Begusarai Sadar PHC,"Begusarai Sadar PHC, Begusarai "
94,Begusarai ,Begusarai Urban UHC,"Begusarai Urban UHC, Begusarai "
95,Begusarai ,Bhagwanpur PHC,"Bhagwanpur PHC, Begusarai "
96,Begusarai ,Birpur PHC,"Birpur PHC, Begusarai "
97,Begusarai ,Cheriya Bariyarpur PHC,"Cheriya Bariyarpur PHC, Begusarai "
98,Begusarai ,Chhurahi PHC,"Chhurahi PHC, Begusarai "
99,Begusarai ,Dandari PHC,"Dandari PHC, Begusarai "
100,Begusarai ,Garhpura PHC,"Garhpura PHC, Begusarai "
101,Begusarai ,Khodawandpur PHC,"Khodawandpur PHC, Begusarai "
102,Begusarai ,Mansoorchak PHC,"Mansoorchak PHC, Begusarai "
103,Begusarai ,Matihani PHC,"Matihani PHC, Begusarai "
104,Begusarai ,Nawkothi PHC,"Nawkothi PHC, Begusarai "
105,Begusarai ,Sahebpur Kamal PHC,"Sahebpur Kamal PHC, Begusarai "
106,Begusarai ,Shamho PHC,"Shamho PHC, Begusarai "
107,Begusarai ,Teghra PHC,"Teghra PHC, Begusarai "
108,Bhagalpur ,Bihpur PHC,"Bihpur PHC, Bhagalpur "
109,Bhagalpur ,Gopalpur PHC,"Gopalpur PHC, Bhagalpur "
110,Bhagalpur ,Goradih PHC,"Goradih PHC, Bhagalpur "
111,Bhagalpur ,Jagdishpur PHC,"Jagdishpur PHC, Bhagalpur "
112,Bhagalpur ,Kahalgaon PHC,"Kahalgaon PHC, Bhagalpur "
113,Bhagalpur ,Kharik PHC,"Kharik PHC, Bhagalpur "
114,Bhagalpur ,Nathnagar PHC,"Nathnagar PHC, Bhagalpur "
115,Bhagalpur ,Jwahar Lal Nehru Medical College Hospital,"Jwahar Lal Nehru Medical College Hospital, Bhagalpur "
116,Bhagalpur ,Narayanpur PHC,"Narayanpur PHC, Bhagalpur "
117,Bhagalpur ,Naugachiya PHC,"Naugachiya PHC, Bhagalpur "
118,Bhagalpur ,Pirpainti PHC,"Pirpainti PHC, Bhagalpur "
119,Bhagalpur ,Rangra PHC,"Rangra PHC, Bhagalpur "
120,Bhagalpur ,Sabour PHC,"Sabour PHC, Bhagalpur "
121,Bhagalpur ,Sahkund PHC,"Sahkund PHC, Bhagalpur "
122,Bhagalpur ,Sanahulla PHC,"Sanahulla PHC, Bhagalpur "
123,Bhagalpur ,Sultanganj PHC,"Sultanganj PHC, Bhagalpur "
124,Bhagalpur ,Urban PHC,"Urban PHC, Bhagalpur "
125,Bhojpur ,Agiaon PHC,"Agiaon PHC, Bhojpur "
126,Bhojpur ,Barhara PHC,"Barhara PHC, Bhojpur "
127,Bhojpur ,Sadar PHC,"Sadar PHC, Bhojpur "
128,Bhojpur ,Bihiya PHC,"Bihiya PHC, Bhojpur "
129,Bhojpur ,Charpokhri PHC,"Charpokhri PHC, Bhojpur "
130,Bhojpur ,Garahani PHC,"Garahani PHC, Bhojpur "
131,Bhojpur ,Jagdishpur PHC,"Jagdishpur PHC, Bhojpur "
132,Bhojpur ,Jagdishpur SDH,"Jagdishpur SDH, Bhojpur "
133,Bhojpur ,Koilwar PHC,"Koilwar PHC, Bhojpur "
134,Bhojpur ,Ara Urban,"Ara Urban, Bhojpur "
135,Bhojpur ,Piro PHC,"Piro PHC, Bhojpur "
136,Bhojpur ,Sahar PHC,"Sahar PHC, Bhojpur "
137,Bhojpur ,Shahpur PHC,"Shahpur PHC, Bhojpur "
138,Bhojpur ,Sandesh PHC,"Sandesh PHC, Bhojpur "
139,Bhojpur ,Tarari PHC,"Tarari PHC, Bhojpur "
140,Bhojpur ,Udwantnagar PHC,"Udwantnagar PHC, Bhojpur "
141,Buxar ,Buxar Sadar,"Buxar Sadar, Buxar "
142,Buxar ,Chakki PHC,"Chakki PHC, Buxar "
143,Buxar ,Chougain PHC,"Chougain PHC, Buxar "
144,Buxar ,Chousa PHC,"Chousa PHC, Buxar "
145,Buxar ,Dumraon PHC,"Dumraon PHC, Buxar "
146,Buxar ,Itarhi PHC,"Itarhi PHC, Buxar "
147,Buxar ,Kesath PHC,"Kesath PHC, Buxar "
148,Buxar ,Nawanagar PHC,"Nawanagar PHC, Buxar "
149,Buxar ,Brahampur PHC,"Brahampur PHC, Buxar "
150,Buxar ,Rajpur PHC,"Rajpur PHC, Buxar "
151,Buxar ,Simari PHC,"Simari PHC, Buxar "
152,Darbhanga ,Alinagar PHC,"Alinagar PHC, Darbhanga "
153,Darbhanga ,Bahadurpur PHC,"Bahadurpur PHC, Darbhanga "
154,Darbhanga ,Baheri PHC,"Baheri PHC, Darbhanga "
155,Darbhanga ,Benipur PHC,"Benipur PHC, Darbhanga "
156,Darbhanga ,Benipur SDH,"Benipur SDH, Darbhanga "
157,Darbhanga ,Biraul CHC,"Biraul CHC, Darbhanga "
158,Darbhanga ,Darbhanga Sadar PHC,"Darbhanga Sadar PHC, Darbhanga "
159,Darbhanga ,Gouraboraam PHC,"Gouraboraam PHC, Darbhanga "
160,Darbhanga ,Ghanshyampur PHC,"Ghanshyampur PHC, Darbhanga "
161,Darbhanga ,Hanuman Nagar PHC,"Hanuman Nagar PHC, Darbhanga "
162,Darbhanga ,Hayaghat PHC,"Hayaghat PHC, Darbhanga "
163,Darbhanga ,Jalley PHC,"Jalley PHC, Darbhanga "
164,Darbhanga ,Keoti PHC,"Keoti PHC, Darbhanga "
165,Darbhanga ,Kiratpur PHC,"Kiratpur PHC, Darbhanga "
166,Darbhanga ,Kusheshwar Asthan PHC,"Kusheshwar Asthan PHC, Darbhanga "
167,Darbhanga ,Kusheshwar Asthan (East) PHC,"Kusheshwar Asthan (East) PHC, Darbhanga "
168,Darbhanga ,Darbhanga URBAN,"Darbhanga URBAN, Darbhanga "
169,Darbhanga ,Manigachhi PHC,"Manigachhi PHC, Darbhanga "
170,Darbhanga ,Singwara PHC,"Singwara PHC, Darbhanga "
171,Darbhanga ,Tardih PHC,"Tardih PHC, Darbhanga "
172,East Champaran ,Adapur PHC,"Adapur PHC, East Champaran "
173,East Champaran ,Areraj PHC,"Areraj PHC, East Champaran "
174,East Champaran ,Banjaria PHC,"Banjaria PHC, East Champaran "
175,East Champaran ,Bankatwa PHC,"Bankatwa PHC, East Champaran "
176,East Champaran ,Chakia PHC,"Chakia PHC, East Champaran "
177,East Champaran ,Chhauradano PHC,"Chhauradano PHC, East Champaran "
178,East Champaran ,Chiraiya PHC,"Chiraiya PHC, East Champaran "
