type,latitude,longitude,name,desc,precision,source
W,24.7530041,84.3733139,"Aurangabad , Bihar, India","Aurangabad, India",city/town,Bing Maps
W,25.2378445,87.0477295,"Bhagalpur , Bihar, India","Bhagalpur, India",city/town,Bing Maps
W,26.0896397,85.8074722,"Darbhanga , Bihar, India","Darbhanga, India",city/town,Bing Maps
W,26.6256905,84.8985519,"East Champaran , Bihar, India","East Champaran, India",Neighborhood,Bing Maps
W,26.1408863,85.3574905,"Muzaffarpur , Bihar, India","Muzaffarpur, India",city/town,Bing Maps
W,25.1282902,85.4502258,"Nalanda , Bihar, India","Nalanda, India",city/town,Bing Maps
W,25.7279453,87.5151672,"Purnia , Bihar, India","Purnia, India",city/town,Bing Maps
W,25.8529835,86.5627899,"Saharsa , Bihar, India","Saharsa, India",city/town,Bing Maps
W,26.0543423,84.6169052,"Saran , Bihar, India","Saran, India",Neighborhood,Bing Maps
W,25.553194,85.0747452,"Patna , Bihar, India","Patna, India",city/town,Bing Maps
