i,j,t,demand
1,1,1,2057
1,1,2,2057
1,1,3,2057
1,1,4,2057
1,1,5,2057
1,1,6,2057
1,1,7,2057
1,1,8,2057
1,1,9,2057
1,1,10,2057
1,1,11,2057
1,1,12,2057
2,1,1,2057
2,1,2,2057
2,1,3,2057
2,1,4,2057
2,1,5,2057
2,1,6,2057
2,1,7,2057
2,1,8,2057
2,1,9,2057
2,1,10,2057
2,1,11,2057
2,1,12,2057
3,1,1,2057
3,1,2,2057
3,1,3,2057
3,1,4,2057
3,1,5,2057
3,1,6,2057
3,1,7,2057
3,1,8,2057
3,1,9,2057
3,1,10,2057
3,1,11,2057
3,1,12,2057
4,1,1,2057
4,1,2,2057
4,1,3,2057
4,1,4,2057
4,1,5,2057
4,1,6,2057
4,1,7,2057
4,1,8,2057
4,1,9,2057
4,1,10,2057
4,1,11,2057
4,1,12,2057
5,1,1,2057
5,1,2,2057
5,1,3,2057
5,1,4,2057
5,1,5,2057
5,1,6,2057
5,1,7,2057
5,1,8,2057
5,1,9,2057
5,1,10,2057
5,1,11,2057
5,1,12,2057
6,1,1,2057
6,1,2,2057
6,1,3,2057
6,1,4,2057
6,1,5,2057
6,1,6,2057
6,1,7,2057
6,1,8,2057
6,1,9,2057
6,1,10,2057
6,1,11,2057
6,1,12,2057
7,1,1,2057
7,1,2,2057
7,1,3,2057
7,1,4,2057
7,1,5,2057
7,1,6,2057
7,1,7,2057
7,1,8,2057
7,1,9,2057
7,1,10,2057
7,1,11,2057
7,1,12,2057
8,1,1,2057
8,1,2,2057
8,1,3,2057
8,1,4,2057
8,1,5,2057
8,1,6,2057
8,1,7,2057
8,1,8,2057
8,1,9,2057
8,1,10,2057
8,1,11,2057
8,1,12,2057
9,1,1,2057
9,1,2,2057
9,1,3,2057
9,1,4,2057
9,1,5,2057
9,1,6,2057
9,1,7,2057
9,1,8,2057
9,1,9,2057
9,1,10,2057
9,1,11,2057
9,1,12,2057
10,1,1,2057
10,1,2,2057
10,1,3,2057
10,1,4,2057
10,1,5,2057
10,1,6,2057
10,1,7,2057
10,1,8,2057
10,1,9,2057
10,1,10,2057
10,1,11,2057
10,1,12,2057
11,1,1,855
11,1,2,855
11,1,3,855
11,1,4,855
11,1,5,855
11,1,6,855
11,1,7,855
11,1,8,855
11,1,9,855
11,1,10,855
11,1,11,855
11,1,12,855
12,1,1,855
12,1,2,855
12,1,3,855
12,1,4,855
12,1,5,855
12,1,6,855
12,1,7,855
12,1,8,855
12,1,9,855
12,1,10,855
12,1,11,855
12,1,12,855
13,1,1,855
13,1,2,855
13,1,3,855
13,1,4,855
13,1,5,855
13,1,6,855
13,1,7,855
13,1,8,855
13,1,9,855
13,1,10,855
13,1,11,855
13,1,12,855
14,1,1,855
14,1,2,855
14,1,3,855
14,1,4,855
14,1,5,855
14,1,6,855
14,1,7,855
14,1,8,855
14,1,9,855
14,1,10,855
14,1,11,855
14,1,12,855
15,1,1,855
15,1,2,855
15,1,3,855
15,1,4,855
15,1,5,855
15,1,6,855
15,1,7,855
15,1,8,855
15,1,9,855
15,1,10,855
15,1,11,855
15,1,12,855
16,1,1,855
16,1,2,855
16,1,3,855
16,1,4,855
16,1,5,855
16,1,6,855
16,1,7,855
16,1,8,855
16,1,9,855
16,1,10,855
16,1,11,855
16,1,12,855
17,1,1,1549
17,1,2,1549
17,1,3,1549
17,1,4,1549
17,1,5,1549
17,1,6,1549
17,1,7,1549
17,1,8,1549
17,1,9,1549
17,1,10,1549
17,1,11,1549
17,1,12,1549
18,1,1,1549
18,1,2,1549
18,1,3,1549
18,1,4,1549
18,1,5,1549
18,1,6,1549
18,1,7,1549
18,1,8,1549
18,1,9,1549
18,1,10,1549
18,1,11,1549
18,1,12,1549
19,1,1,1549
19,1,2,1549
19,1,3,1549
19,1,4,1549
19,1,5,1549
19,1,6,1549
19,1,7,1549
19,1,8,1549
19,1,9,1549
19,1,10,1549
19,1,11,1549
19,1,12,1549
20,1,1,1549
20,1,2,1549
20,1,3,1549
20,1,4,1549
20,1,5,1549
20,1,6,1549
20,1,7,1549
20,1,8,1549
20,1,9,1549
20,1,10,1549
20,1,11,1549
20,1,12,1549
21,1,1,1549
21,1,2,1549
21,1,3,1549
21,1,4,1549
21,1,5,1549
21,1,6,1549
21,1,7,1549
21,1,8,1549
21,1,9,1549
21,1,10,1549
21,1,11,1549
21,1,12,1549
22,1,1,1549
22,1,2,1549
22,1,3,1549
22,1,4,1549
22,1,5,1549
22,1,6,1549
22,1,7,1549
22,1,8,1549
22,1,9,1549
22,1,10,1549
22,1,11,1549
22,1,12,1549
23,1,1,1549
23,1,2,1549
23,1,3,1549
23,1,4,1549
23,1,5,1549
23,1,6,1549
23,1,7,1549
23,1,8,1549
23,1,9,1549
23,1,10,1549
23,1,11,1549
23,1,12,1549
24,1,1,1549
24,1,2,1549
24,1,3,1549
24,1,4,1549
24,1,5,1549
24,1,6,1549
24,1,7,1549
24,1,8,1549
24,1,9,1549
24,1,10,1549
24,1,11,1549
24,1,12,1549
25,1,1,1549
25,1,2,1549
25,1,3,1549
25,1,4,1549
25,1,5,1549
25,1,6,1549
25,1,7,1549
25,1,8,1549
25,1,9,1549
25,1,10,1549
25,1,11,1549
25,1,12,1549
26,1,1,1549
26,1,2,1549
26,1,3,1549
26,1,4,1549
26,1,5,1549
26,1,6,1549
26,1,7,1549
26,1,8,1549
26,1,9,1549
26,1,10,1549
26,1,11,1549
26,1,12,1549
27,1,1,1549
27,1,2,1549
27,1,3,1549
27,1,4,1549
27,1,5,1549
27,1,6,1549
27,1,7,1549
27,1,8,1549
27,1,9,1549
27,1,10,1549
27,1,11,1549
27,1,12,1549
28,1,1,1549
28,1,2,1549
28,1,3,1549
28,1,4,1549
28,1,5,1549
28,1,6,1549
28,1,7,1549
28,1,8,1549
28,1,9,1549
28,1,10,1549
28,1,11,1549
28,1,12,1549
29,1,1,1241
29,1,2,1241
29,1,3,1241
29,1,4,1241
29,1,5,1241
29,1,6,1241
29,1,7,1241
29,1,8,1241
29,1,9,1241
29,1,10,1241
29,1,11,1241
29,1,12,1241
30,1,1,1241
30,1,2,1241
30,1,3,1241
30,1,4,1241
30,1,5,1241
30,1,6,1241
30,1,7,1241
30,1,8,1241
30,1,9,1241
30,1,10,1241
30,1,11,1241
30,1,12,1241
31,1,1,1241
31,1,2,1241
31,1,3,1241
31,1,4,1241
31,1,5,1241
31,1,6,1241
31,1,7,1241
31,1,8,1241
31,1,9,1241
31,1,10,1241
31,1,11,1241
31,1,12,1241
32,1,1,1241
32,1,2,1241
32,1,3,1241
32,1,4,1241
32,1,5,1241
32,1,6,1241
32,1,7,1241
32,1,8,1241
32,1,9,1241
32,1,10,1241
32,1,11,1241
32,1,12,1241
33,1,1,1241
33,1,2,1241
33,1,3,1241
33,1,4,1241
33,1,5,1241
33,1,6,1241
33,1,7,1241
33,1,8,1241
33,1,9,1241
33,1,10,1241
33,1,11,1241
33,1,12,1241
34,1,1,1241
34,1,2,1241
34,1,3,1241
34,1,4,1241
34,1,5,1241
34,1,6,1241
34,1,7,1241
34,1,8,1241
34,1,9,1241
34,1,10,1241
34,1,11,1241
34,1,12,1241
35,1,1,1241
35,1,2,1241
35,1,3,1241
35,1,4,1241
35,1,5,1241
35,1,6,1241
35,1,7,1241
35,1,8,1241
35,1,9,1241
35,1,10,1241
35,1,11,1241
35,1,12,1241
36,1,1,1241
36,1,2,1241
36,1,3,1241
36,1,4,1241
