i,j,t,demand
1,1,1,2025
1,1,2,2025
1,1,3,2025
1,1,4,2025
1,1,5,2025
1,1,6,2025
1,1,7,2025
1,1,8,2025
1,1,9,2025
1,1,10,2025
1,1,11,2025
1,1,12,2025
1,2,1,32
1,2,2,32
1,2,3,32
1,2,4,32
1,2,5,32
1,2,6,32
1,2,7,32
1,2,8,32
1,2,9,32
1,2,10,32
1,2,11,32
1,2,12,32
2,1,1,2025
2,1,2,2025
2,1,3,2025
2,1,4,2025
2,1,5,2025
2,1,6,2025
2,1,7,2025
2,1,8,2025
2,1,9,2025
2,1,10,2025
2,1,11,2025
2,1,12,2025
2,2,1,32
2,2,2,32
2,2,3,32
2,2,4,32
2,2,5,32
2,2,6,32
2,2,7,32
2,2,8,32
2,2,9,32
2,2,10,32
2,2,11,32
2,2,12,32
3,1,1,2025
3,1,2,2025
3,1,3,2025
3,1,4,2025
3,1,5,2025
3,1,6,2025
3,1,7,2025
3,1,8,2025
3,1,9,2025
3,1,10,2025
3,1,11,2025
3,1,12,2025
3,2,1,32
3,2,2,32
3,2,3,32
3,2,4,32
3,2,5,32
3,2,6,32
3,2,7,32
3,2,8,32
3,2,9,32
3,2,10,32
3,2,11,32
3,2,12,32
4,1,1,2025
4,1,2,2025
4,1,3,2025
4,1,4,2025
4,1,5,2025
4,1,6,2025
4,1,7,2025
4,1,8,2025
4,1,9,2025
4,1,10,2025
4,1,11,2025
4,1,12,2025
4,2,1,32
4,2,2,32
4,2,3,32
4,2,4,32
4,2,5,32
4,2,6,32
4,2,7,32
4,2,8,32
4,2,9,32
4,2,10,32
4,2,11,32
4,2,12,32
5,1,1,2025
5,1,2,2025
5,1,3,2025
5,1,4,2025
5,1,5,2025
5,1,6,2025
5,1,7,2025
5,1,8,2025
5,1,9,2025
5,1,10,2025
5,1,11,2025
5,1,12,2025
5,2,1,32
5,2,2,32
5,2,3,32
5,2,4,32
5,2,5,32
5,2,6,32
5,2,7,32
5,2,8,32
5,2,9,32
5,2,10,32
5,2,11,32
5,2,12,32
6,1,1,2025
6,1,2,2025
6,1,3,2025
6,1,4,2025
6,1,5,2025
6,1,6,2025
6,1,7,2025
6,1,8,2025
6,1,9,2025
6,1,10,2025
6,1,11,2025
6,1,12,2025
6,2,1,32
6,2,2,32
6,2,3,32
6,2,4,32
6,2,5,32
6,2,6,32
6,2,7,32
6,2,8,32
6,2,9,32
6,2,10,32
6,2,11,32
6,2,12,32
7,1,1,2025
7,1,2,2025
7,1,3,2025
7,1,4,2025
7,1,5,2025
7,1,6,2025
7,1,7,2025
7,1,8,2025
7,1,9,2025
7,1,10,2025
7,1,11,2025
7,1,12,2025
7,2,1,32
7,2,2,32
7,2,3,32
7,2,4,32
7,2,5,32
7,2,6,32
7,2,7,32
7,2,8,32
7,2,9,32
7,2,10,32
7,2,11,32
7,2,12,32
8,1,1,2025
8,1,2,2025
8,1,3,2025
8,1,4,2025
8,1,5,2025
8,1,6,2025
8,1,7,2025
8,1,8,2025
8,1,9,2025
8,1,10,2025
8,1,11,2025
8,1,12,2025
8,2,1,32
8,2,2,32
8,2,3,32
8,2,4,32
8,2,5,32
8,2,6,32
8,2,7,32
8,2,8,32
8,2,9,32
8,2,10,32
8,2,11,32
8,2,12,32
9,1,1,2025
9,1,2,2025
9,1,3,2025
9,1,4,2025
9,1,5,2025
9,1,6,2025
9,1,7,2025
9,1,8,2025
9,1,9,2025
9,1,10,2025
9,1,11,2025
9,1,12,2025
9,2,1,32
9,2,2,32
9,2,3,32
9,2,4,32
9,2,5,32
9,2,6,32
9,2,7,32
9,2,8,32
9,2,9,32
9,2,10,32
9,2,11,32
9,2,12,32
10,1,1,2025
10,1,2,2025
10,1,3,2025
10,1,4,2025
10,1,5,2025
10,1,6,2025
10,1,7,2025
10,1,8,2025
10,1,9,2025
10,1,10,2025
10,1,11,2025
10,1,12,2025
10,2,1,32
10,2,2,32
10,2,3,32
10,2,4,32
10,2,5,32
10,2,6,32
10,2,7,32
10,2,8,32
10,2,9,32
10,2,10,32
10,2,11,32
10,2,12,32
11,1,1,842
11,1,2,842
11,1,3,842
11,1,4,842
11,1,5,842
11,1,6,842
11,1,7,842
11,1,8,842
11,1,9,842
11,1,10,842
11,1,11,842
11,1,12,842
11,2,1,14
11,2,2,14
11,2,3,14
11,2,4,14
11,2,5,14
11,2,6,14
11,2,7,14
11,2,8,14
11,2,9,14
11,2,10,14
11,2,11,14
11,2,12,14
12,1,1,842
12,1,2,842
12,1,3,842
12,1,4,842
12,1,5,842
12,1,6,842
12,1,7,842
12,1,8,842
12,1,9,842
12,1,10,842
12,1,11,842
12,1,12,842
12,2,1,14
12,2,2,14
12,2,3,14
12,2,4,14
12,2,5,14
12,2,6,14
12,2,7,14
12,2,8,14
12,2,9,14
12,2,10,14
12,2,11,14
12,2,12,14
13,1,1,842
13,1,2,842
13,1,3,842
13,1,4,842
13,1,5,842
13,1,6,842
13,1,7,842
13,1,8,842
13,1,9,842
13,1,10,842
13,1,11,842
13,1,12,842
13,2,1,14
13,2,2,14
13,2,3,14
13,2,4,14
13,2,5,14
13,2,6,14
13,2,7,14
13,2,8,14
13,2,9,14
13,2,10,14
13,2,11,14
13,2,12,14
14,1,1,842
