i,t,Capacity
1,1,495000
1,2,495000
1,3,495000
1,4,495000
1,5,495000
1,6,495000
1,7,495000
1,8,495000
1,9,495000
1,10,495000
1,11,495000
1,12,495000
2,1,495000
2,2,495000
2,3,495000
2,4,495000
2,5,495000
2,6,495000
2,7,495000
2,8,495000
2,9,495000
2,10,495000
2,11,495000
2,12,495000
3,1,390000
3,2,390000
3,3,390000
3,4,390000
3,5,390000
3,6,390000
3,7,390000
3,8,390000
3,9,390000
3,10,390000
3,11,390000
3,12,390000
4,1,170000
4,2,170000
4,3,170000
4,4,170000
4,5,170000
4,6,170000
4,7,170000
4,8,170000
4,9,170000
4,10,170000
4,11,170000
4,12,170000
5,1,170000
5,2,170000
5,3,170000
5,4,170000
5,5,170000
5,6,170000
5,7,170000
5,8,170000
5,9,170000
5,10,170000
5,11,170000
5,12,170000
6,1,390000
6,2,390000
6,3,390000
6,4,390000
6,5,390000
6,6,390000
6,7,390000
6,8,390000
6,9,390000
6,10,390000
6,11,390000
6,12,390000
7,1,320000
7,2,320000
7,3,320000
7,4,320000
7,5,320000
7,6,320000
7,7,320000
7,8,320000
7,9,320000
7,10,320000
7,11,320000
7,12,320000
8,1,390000
8,2,390000
8,3,390000
8,4,390000
8,5,390000
8,6,390000
8,7,390000
8,8,390000
8,9,390000
8,10,390000
8,11,390000
8,12,390000
9,1,495000
9,2,495000
9,3,495000
9,4,495000
9,5,495000
9,6,495000
9,7,495000
9,8,495000
9,9,495000
9,10,495000
9,11,495000
9,12,495000
10,1,170000
10,2,170000
10,3,170000
10,4,170000
10,5,170000
10,6,170000
10,7,170000
10,8,170000
10,9,170000
10,10,170000
10,11,170000
10,12,170000
11,1,470000
11,2,470000
11,3,470000
11,4,470000
11,5,470000
11,6,470000
11,7,470000
11,8,470000
11,9,470000
11,10,470000
11,11,470000
11,12,470000
12,1,575000
12,2,575000
12,3,575000
12,4,575000
12,5,575000
12,6,575000
12,7,575000
12,8,575000
12,9,575000
12,10,575000
12,11,575000
12,12,575000
13,1,575000
13,2,575000
13,3,575000
13,4,575000
13,5,575000
13,6,575000
13,7,575000
13,8,575000
13,9,575000
13,10,575000
13,11,575000
13,12,575000
14,1,390000
14,2,390000
14,3,390000
14,4,390000
14,5,390000
14,6,390000
14,7,390000
14,8,390000
14,9,390000
14,10,390000
14,11,390000
14,12,390000
15,1,470000
15,2,470000
15,3,470000
15,4,470000
15,5,470000
15,6,470000
15,7,470000
15,8,470000
15,9,470000
15,10,470000
15,11,470000
15,12,470000
16,1,390000
16,2,390000
16,3,390000
16,4,390000
16,5,390000
16,6,390000
16,7,390000
16,8,390000
16,9,390000
16,10,390000
16,11,390000
16,12,390000
17,1,345000
17,2,345000
17,3,345000
17,4,345000
17,5,345000
17,6,345000
17,7,345000
17,8,345000
17,9,345000
17,10,345000
17,11,345000
17,12,345000
18,1,390000
18,2,390000
18,3,390000
18,4,390000
18,5,390000
18,6,390000
18,7,390000
18,8,390000
18,9,390000
18,10,390000
18,11,390000
18,12,390000
19,1,170000
19,2,170000
19,3,170000
19,4,170000
19,5,170000
19,6,170000
19,7,170000
19,8,170000
19,9,170000
19,10,170000
19,11,170000
19,12,170000
20,1,345000
20,2,345000
20,3,345000
20,4,345000
20,5,345000
20,6,345000
20,7,345000
20,8,345000
20,9,345000
20,10,345000
20,11,345000
20,12,345000
21,1,265000
21,2,265000
21,3,265000
21,4,265000
21,5,265000
21,6,265000
21,7,265000
21,8,265000
21,9,265000
21,10,265000
21,11,265000
21,12,265000
22,1,275000
22,2,275000
22,3,275000
22,4,275000
22,5,275000
22,6,275000
22,7,275000
22,8,275000
22,9,275000
22,10,275000
22,11,275000
22,12,275000
23,1,390000
23,2,390000
23,3,390000
23,4,390000
23,5,390000
23,6,390000
23,7,390000
23,8,390000
23,9,390000
23,10,390000
23,11,390000
23,12,390000
24,1,230000
24,2,230000
24,3,230000
24,4,230000
24,5,230000
24,6,230000
24,7,230000
24,8,230000
24,9,230000
24,10,230000
24,11,230000
24,12,230000
25,1,390000
25,2,390000
25,3,390000
25,4,390000
25,5,390000
25,6,390000
25,7,390000
25,8,390000
25,9,390000
25,10,390000
25,11,390000
25,12,390000
26,1,230000
26,2,230000
26,3,230000
26,4,230000
26,5,230000
26,6,230000
26,7,230000
26,8,230000
26,9,230000
26,10,230000
26,11,230000
26,12,230000
27,1,390000
27,2,390000
27,3,390000
27,4,390000
27,5,390000
27,6,390000
27,7,390000
27,8,390000
27,9,390000
27,10,390000
27,11,390000
27,12,390000
28,1,45000
28,2,45000
28,3,45000
28,4,45000
28,5,45000
28,6,45000
28,7,45000
28,8,45000
28,9,45000
28,10,45000
28,11,45000
28,12,45000
29,1,265000
29,2,265000
29,3,265000
29,4,265000
29,5,265000
29,6,265000
29,7,265000
29,8,265000
29,9,265000
29,10,265000
29,11,265000
29,12,265000
30,1,125000
30,2,125000
30,3,125000
30,4,125000
30,5,125000
30,6,125000
30,7,125000
30,8,125000
30,9,125000
30,10,125000
30,11,125000
30,12,125000
31,1,125000
31,2,125000
31,3,125000
31,4,125000
31,5,125000
31,6,125000
31,7,125000
31,8,125000
31,9,125000
31,10,125000
31,11,125000
31,12,125000
32,1,390000
32,2,390000
32,3,390000
32,4,390000
32,5,390000
32,6,390000
32,7,390000
32,8,390000
32,9,390000
32,10,390000
32,11,390000
32,12,390000
33,1,170000
33,2,170000
33,3,170000
33,4,170000
33,5,170000
33,6,170000
33,7,170000
33,8,170000
33,9,170000
