d,t,Capacity
1,1,240000
1,2,240000
1,3,240000
1,4,240000
1,5,240000
1,6,240000
1,7,240000
1,8,240000
1,9,240000
1,10,240000
1,11,240000
1,12,240000
2,1,515000
2,2,515000
2,3,515000
2,4,515000
2,5,515000
2,6,515000
2,7,515000
2,8,515000
2,9,515000
2,10,515000
2,11,515000
2,12,515000
3,1,1100000
3,2,1100000
3,3,1100000
3,4,1100000
3,5,1100000
3,6,1100000
3,7,1100000
3,8,1100000
3,9,1100000
3,10,1100000
3,11,1100000
3,12,1100000
4,1,390000
4,2,390000
4,3,390000
4,4,390000
4,5,390000
4,6,390000
4,7,390000
4,8,390000
4,9,390000
4,10,390000
4,11,390000
4,12,390000
5,1,1390000
5,2,1390000
5,3,1390000
5,4,1390000
5,5,1390000
5,6,1390000
5,7,1390000
5,8,1390000
5,9,1390000
5,10,1390000
5,11,1390000
5,12,1390000
6,1,620000
6,2,620000
6,3,620000
6,4,620000
6,5,620000
6,6,620000
6,7,620000
6,8,620000
6,9,620000
6,10,620000
6,11,620000
6,12,620000
7,1,665000
7,2,665000
7,3,665000
7,4,665000
7,5,665000
7,6,665000
7,7,665000
7,8,665000
7,9,665000
7,10,665000
7,11,665000
7,12,665000
8,1,215000
8,2,215000
8,3,215000
8,4,215000
8,5,215000
8,6,215000
8,7,215000
8,8,215000
8,9,215000
8,10,215000
8,11,215000
8,12,215000
9,1,380000
9,2,380000
9,3,380000
9,4,380000
9,5,380000
9,6,380000
9,7,380000
9,8,380000
9,9,380000
9,10,380000
9,11,380000
9,12,380000
10,1,470000
10,2,470000
10,3,470000
10,4,470000
10,5,470000
10,6,470000
10,7,470000
10,8,470000
10,9,470000
10,10,470000
10,11,470000
10,12,470000
11,1,435000
11,2,435000
11,3,435000
11,4,435000
11,5,435000
11,6,435000
11,7,435000
11,8,435000
11,9,435000
11,10,435000
11,11,435000
11,12,435000
12,1,540000
12,2,540000
12,3,540000
12,4,540000
12,5,540000
12,6,540000
12,7,540000
12,8,540000
12,9,540000
12,10,540000
12,11,540000
12,12,540000
13,1,665000
13,2,665000
13,3,665000
13,4,665000
13,5,665000
13,6,665000
13,7,665000
13,8,665000
13,9,665000
13,10,665000
13,11,665000
13,12,665000
14,1,435000
14,2,435000
14,3,435000
14,4,435000
14,5,435000
14,6,435000
14,7,435000
14,8,435000
14,9,435000
14,10,435000
14,11,435000
14,12,435000
15,1,665000
15,2,665000
15,3,665000
15,4,665000
15,5,665000
15,6,665000
15,7,665000
15,8,665000
15,9,665000
15,10,665000
15,11,665000
15,12,665000
16,1,710000
16,2,710000
16,3,710000
16,4,710000
16,5,710000
16,6,710000
16,7,710000
16,8,710000
16,9,710000
16,10,710000
16,11,710000
16,12,710000
17,1,665000
17,2,665000
17,3,665000
17,4,665000
17,5,665000
17,6,665000
17,7,665000
17,8,665000
17,9,665000
17,10,665000
17,11,665000
17,12,665000
18,1,585000
18,2,585000
18,3,585000
18,4,585000
18,5,585000
18,6,585000
18,7,585000
18,8,585000
18,9,585000
18,10,585000
18,11,585000
18,12,585000
19,1,540000
19,2,540000
19,3,540000
19,4,540000
19,5,540000
19,6,540000
19,7,540000
19,8,540000
19,9,540000
19,10,540000
19,11,540000
19,12,540000
20,1,425000
20,2,425000
20,3,425000
20,4,425000
20,5,425000
20,6,425000
20,7,425000
20,8,425000
20,9,425000
20,10,425000
20,11,425000
20,12,425000
21,1,800000
21,2,800000
21,3,800000
21,4,800000
21,5,800000
21,6,800000
21,7,800000
21,8,800000
21,9,800000
21,10,800000
21,11,800000
21,12,800000
22,1,435000
22,2,435000
22,3,435000
22,4,435000
22,5,435000
22,6,435000
22,7,435000
22,8,435000
22,9,435000
22,10,435000
22,11,435000
22,12,435000
23,1,725000
23,2,725000
23,3,725000
23,4,725000
23,5,725000
23,6,725000
23,7,725000
23,8,725000
23,9,725000
23,10,725000
23,11,725000
23,12,725000
24,1,735000
24,2,735000
24,3,735000
24,4,735000
24,5,735000
24,6,735000
24,7,735000
24,8,735000
24,9,735000
24,10,735000
24,11,735000
24,12,735000
25,1,930000
25,2,930000
25,3,930000
25,4,930000
25,5,930000
25,6,930000
25,7,930000
25,8,930000
25,9,930000
25,10,930000
25,11,930000
25,12,930000
26,1,800000
26,2,800000
26,3,800000
26,4,800000
26,5,800000
26,6,800000
26,7,800000
26,8,800000
26,9,800000
26,10,800000
26,11,800000
26,12,800000
27,1,515000
27,2,515000
27,3,515000
27,4,515000
27,5,515000
27,6,515000
27,7,515000
27,8,515000
27,9,515000
27,10,515000
27,11,515000
27,12,515000
28,1,515000
28,2,515000
28,3,515000
28,4,515000
28,5,515000
28,6,515000
28,7,515000
28,8,515000
28,9,515000
28,10,515000
28,11,515000
28,12,515000
29,1,585000
29,2,585000
29,3,585000
29,4,585000
29,5,585000
29,6,585000
29,7,585000
29,8,585000
29,9,585000
29,10,585000
29,11,585000
29,12,585000
30,1,1090000
30,2,1090000
30,3,1090000
30,4,1090000
30,5,1090000
30,6,1090000
30,7,1090000
30,8,1090000
30,9,1090000
30,10,1090000
30,11,1090000
30,12,1090000
31,1,320000
31,2,320000
31,3,320000
31,4,320000
31,5,320000
31,6,320000
31,7,320000
31,8,320000
31,9,320000
31,10,320000
31,11,320000
31,12,320000
32,1,620000
32,2,620000
32,3,620000
32,4,620000
32,5,620000
32,6,620000
32,7,620000
32,8,620000
32,9,620000
32,10,620000
32,11,620000
32,12,620000
33,1,320000
33,2,320000
33,3,320000
33,4,320000
33,5,320000
33,6,320000
33,7,320000
33,8,320000
33,9,320000
33,10,320000
33,11,320000
33,12,320000
34,1,215000
34,2,215000
34,3,215000
34,4,215000
34,5,215000
34,6,215000
34,7,215000
