r,t,Capacity
1,1,13500000
1,2,13500000
1,3,13500000
1,4,13500000
1,5,13500000
1,6,13500000
1,7,13500000
1,8,13500000
1,9,13500000
1,10,13500000
1,11,13500000
1,12,13500000
2,1,9000000
2,2,9000000
2,3,9000000
2,4,9000000
2,5,9000000
2,6,9000000
2,7,9000000
2,8,9000000
2,9,9000000
2,10,9000000
2,11,9000000
2,12,9000000
3,1,4500000
3,2,4500000
3,3,4500000
3,4,4500000
3,5,4500000
3,6,4500000
3,7,4500000
3,8,4500000
3,9,4500000
3,10,4500000
3,11,4500000
3,12,4500000
4,1,4500000
4,2,4500000
4,3,4500000
4,4,4500000
4,5,4500000
4,6,4500000
4,7,4500000
4,8,4500000
4,9,4500000
4,10,4500000
4,11,4500000
4,12,4500000
5,1,4500000
5,2,4500000
5,3,4500000
5,4,4500000
5,5,4500000
5,6,4500000
5,7,4500000
5,8,4500000
5,9,4500000
5,10,4500000
5,11,4500000
5,12,4500000
6,1,4500000
6,2,4500000
6,3,4500000
6,4,4500000
6,5,4500000
6,6,4500000
6,7,4500000
6,8,4500000
6,9,4500000
6,10,4500000
6,11,4500000
6,12,4500000
7,1,13500000
7,2,13500000
7,3,13500000
7,4,13500000
7,5,13500000
7,6,13500000
7,7,13500000
7,8,13500000
7,9,13500000
7,10,13500000
7,11,13500000
7,12,13500000
8,1,4500000
8,2,4500000
8,3,4500000
8,4,4500000
8,5,4500000
8,6,4500000
8,7,4500000
8,8,4500000
8,9,4500000
8,10,4500000
8,11,4500000
8,12,4500000
9,1,9000000
9,2,9000000
9,3,9000000
9,4,9000000
9,5,9000000
9,6,9000000
9,7,9000000
9,8,9000000
9,9,9000000
9,10,9000000
9,11,9000000
9,12,9000000
