i,t,Capacity
1,1,150000
1,2,150000
1,3,150000
1,4,150000
1,5,150000
1,6,150000
1,7,150000
1,8,150000
1,9,150000
1,10,150000
1,11,150000
1,12,150000
2,1,150000
2,2,150000
2,3,150000
2,4,150000
2,5,150000
2,6,150000
2,7,150000
2,8,150000
2,9,150000
2,10,150000
2,11,150000
2,12,150000
3,1,118182
3,2,118182
3,3,118182
3,4,118182
3,5,118182
3,6,118182
3,7,118182
3,8,118182
3,9,118182
3,10,118182
3,11,118182
3,12,118182
4,1,51515
4,2,51515
4,3,51515
4,4,51515
4,5,51515
4,6,51515
4,7,51515
4,8,51515
4,9,51515
4,10,51515
4,11,51515
4,12,51515
5,1,51515
5,2,51515
5,3,51515
5,4,51515
5,5,51515
5,6,51515
5,7,51515
5,8,51515
5,9,51515
5,10,51515
5,11,51515
5,12,51515
6,1,118182
6,2,118182
6,3,118182
6,4,118182
6,5,118182
6,6,118182
6,7,118182
6,8,118182
6,9,118182
6,10,118182
6,11,118182
6,12,118182
7,1,96970
7,2,96970
7,3,96970
7,4,96970
7,5,96970
7,6,96970
7,7,96970
7,8,96970
7,9,96970
7,10,96970
7,11,96970
7,12,96970
8,1,118182
8,2,118182
8,3,118182
8,4,118182
8,5,118182
8,6,118182
8,7,118182
8,8,118182
8,9,118182
8,10,118182
8,11,118182
8,12,118182
9,1,150000
9,2,150000
9,3,150000
9,4,150000
9,5,150000
9,6,150000
9,7,150000
9,8,150000
9,9,150000
9,10,150000
9,11,150000
9,12,150000
10,1,51515
10,2,51515
10,3,51515
10,4,51515
10,5,51515
10,6,51515
10,7,51515
10,8,51515
10,9,51515
10,10,51515
10,11,51515
10,12,51515
11,1,142424
11,2,142424
11,3,142424
11,4,142424
11,5,142424
11,6,142424
11,7,142424
11,8,142424
11,9,142424
11,10,142424
11,11,142424
11,12,142424
12,1,174242
12,2,174242
12,3,174242
12,4,174242
12,5,174242
12,6,174242
12,7,174242
12,8,174242
12,9,174242
12,10,174242
12,11,174242
12,12,174242
13,1,174242
13,2,174242
13,3,174242
13,4,174242
13,5,174242
13,6,174242
13,7,174242
13,8,174242
13,9,174242
13,10,174242
13,11,174242
13,12,174242
14,1,118182
14,2,118182
14,3,118182
14,4,118182
14,5,118182
14,6,118182
14,7,118182
14,8,118182
14,9,118182
14,10,118182
14,11,118182
14,12,118182
15,1,142424
15,2,142424
15,3,142424
15,4,142424
15,5,142424
15,6,142424
15,7,142424
15,8,142424
15,9,142424
15,10,142424
15,11,142424
15,12,142424
16,1,118182
16,2,118182
16,3,118182
16,4,118182
16,5,118182
16,6,118182
16,7,118182
16,8,118182
16,9,118182
16,10,118182
16,11,118182
16,12,118182
17,1,104545
17,2,104545
17,3,104545
17,4,104545
17,5,104545
17,6,104545
17,7,104545
17,8,104545
17,9,104545
17,10,104545
17,11,104545
17,12,104545
18,1,118182
18,2,118182
18,3,118182
18,4,118182
18,5,118182
18,6,118182
18,7,118182
18,8,118182
18,9,118182
18,10,118182
18,11,118182
18,12,118182
19,1,51515
19,2,51515
19,3,51515
19,4,51515
19,5,51515
19,6,51515
19,7,51515
19,8,51515
19,9,51515
19,10,51515
19,11,51515
19,12,51515
20,1,104545
20,2,104545
20,3,104545
20,4,104545
20,5,104545
20,6,104545
20,7,104545
20,8,104545
20,9,104545
20,10,104545
20,11,104545
20,12,104545
21,1,80303
21,2,80303
21,3,80303
21,4,80303
21,5,80303
21,6,80303
21,7,80303
21,8,80303
21,9,80303
21,10,80303
21,11,80303
21,12,80303
22,1,83333
22,2,83333
22,3,83333
22,4,83333
22,5,83333
22,6,83333
22,7,83333
22,8,83333
22,9,83333
22,10,83333
22,11,83333
22,12,83333
23,1,118182
23,2,118182
23,3,118182
23,4,118182
23,5,118182
23,6,118182
23,7,118182
23,8,118182
23,9,118182
23,10,118182
23,11,118182
23,12,118182
24,1,69697
24,2,69697
24,3,69697
24,4,69697
24,5,69697
24,6,69697
24,7,69697
24,8,69697
24,9,69697
24,10,69697
24,11,69697
24,12,69697
25,1,118182
25,2,118182
25,3,118182
25,4,118182
25,5,118182
25,6,118182
25,7,118182
25,8,118182
25,9,118182
25,10,118182
25,11,118182
25,12,118182
26,1,69697
26,2,69697
26,3,69697
26,4,69697
26,5,69697
26,6,69697
26,7,69697
26,8,69697
26,9,69697
26,10,69697
26,11,69697
26,12,69697
27,1,118182
27,2,118182
27,3,118182
27,4,118182
27,5,118182
27,6,118182
27,7,118182
27,8,118182
27,9,118182
27,10,118182
27,11,118182
27,12,118182
28,1,13636
28,2,13636
28,3,13636
28,4,13636
28,5,13636
28,6,13636
28,7,13636
28,8,13636
28,9,13636
28,10,13636
28,11,13636
28,12,13636
29,1,80303
29,2,80303
29,3,80303
29,4,80303
29,5,80303
29,6,80303
29,7,80303
29,8,80303
29,9,80303
29,10,80303
29,11,80303
29,12,80303
30,1,37879
30,2,37879
30,3,37879
30,4,37879
30,5,37879
30,6,37879
30,7,37879
30,8,37879
30,9,37879
30,10,37879
30,11,37879
30,12,37879
31,1,37879
31,2,37879
31,3,37879
31,4,37879
31,5,37879
31,6,37879
31,7,37879
31,8,37879
31,9,37879
31,10,37879
31,11,37879
31,12,37879
32,1,118182
32,2,118182
32,3,118182
32,4,118182
32,5,118182
32,6,118182
32,7,118182
32,8,118182
32,9,118182
32,10,118182
32,11,118182
32,12,118182
33,1,51515
33,2,51515
33,3,51515
33,4,51515
33,5,51515
33,6,51515
33,7,51515
33,8,51515
33,9,51515
33,10,51515
33,11,51515
33,12,51515
34,1,104545
34,2,104545
34,3,104545
34,4,104545
34,5,104545
34,6,104545
34,7,104545
34,8,104545
34,9,104545
34,10,104545
34,11,104545
34,12,104545
35,1,136364
35,2,136364
35,3,136364
35,4,136364
35,5,136364
35,6,136364
35,7,136364
35,8,136364
35,9,136364
35,10,136364
35,11,136364
35,12,136364
36,1,136364
36,2,136364
36,3,136364
36,4,136364
36,5,136364
36,6,136364
36,7,136364
36,8,136364
36,9,136364
36,10,136364
36,11,136364
36,12,136364
37,1,13636
37,2,13636
37,3,13636
37,4,13636
37,5,13636
37,6,13636
37,7,13636
37,8,13636
37,9,13636
37,10,13636
37,11,13636
37,12,13636
38,1,37879
38,2,37879
38,3,37879
38,4,37879
38,5,37879
38,6,37879
38,7,37879
38,8,37879
38,9,37879
38,10,37879
38,11,37879
38,12,37879
39,1,37879
39,2,37879
39,3,37879
39,4,37879
39,5,37879
39,6,37879
39,7,37879
39,8,37879
39,9,37879
39,10,37879
39,11,37879
39,12,37879
40,1,104545
40,2,104545
40,3,104545
40,4,104545
40,5,104545
40,6,104545
40,7,104545
40,8,104545
40,9,104545
40,10,104545
40,11,104545
40,12,104545
41,1,104545
41,2,104545
41,3,104545
41,4,104545
41,5,104545
41,6,104545
41,7,104545
41,8,104545
41,9,104545
41,10,104545
41,11,104545
41,12,104545
42,1,104545
42,2,104545
42,3,104545
42,4,104545
42,5,104545
42,6,104545
42,7,104545
42,8,104545
42,9,104545
42,10,104545
42,11,104545
42,12,104545
43,1,104545
43,2,104545
43,3,104545
43,4,104545
43,5,104545
43,6,104545
43,7,104545
43,8,104545
43,9,104545
43,10,104545
43,11,104545
43,12,104545
44,1,37879
44,2,37879
44,3,37879
44,4,37879
44,5,37879
44,6,37879
44,7,37879
44,8,37879
44,9,37879
44,10,37879
44,11,37879
44,12,37879
45,1,136364
45,2,136364
45,3,136364
45,4,136364
45,5,136364
45,6,136364
45,7,136364
45,8,136364
45,9,136364
45,10,136364
45,11,136364
45,12,136364
46,1,51515
46,2,51515
46,3,51515
46,4,51515
46,5,51515
46,6,51515
46,7,51515
46,8,51515
46,9,51515
46,10,51515
46,11,51515
46,12,51515
47,1,93939
47,2,93939
