i,j,t,demand
1,1,1,468
1,1,2,468
1,1,3,468
1,1,4,468
1,1,5,468
1,1,6,468
1,1,7,468
1,1,8,468
1,1,9,468
1,1,10,468
1,1,11,468
1,1,12,468
1,2,1,8
1,2,2,8
1,2,3,8
1,2,4,8
1,2,5,8
1,2,6,8
1,2,7,8
1,2,8,8
1,2,9,8
1,2,10,8
1,2,11,8
1,2,12,8
2,1,1,468
2,1,2,468
2,1,3,468
2,1,4,468
2,1,5,468
2,1,6,468
2,1,7,468
2,1,8,468
2,1,9,468
2,1,10,468
2,1,11,468
2,1,12,468
2,2,1,8
2,2,2,8
2,2,3,8
2,2,4,8
2,2,5,8
2,2,6,8
2,2,7,8
2,2,8,8
2,2,9,8
2,2,10,8
2,2,11,8
2,2,12,8
3,1,1,468
3,1,2,468
3,1,3,468
3,1,4,468
3,1,5,468
3,1,6,468
3,1,7,468
3,1,8,468
3,1,9,468
3,1,10,468
3,1,11,468
3,1,12,468
3,2,1,8
3,2,2,8
3,2,3,8
3,2,4,8
3,2,5,8
3,2,6,8
3,2,7,8
3,2,8,8
3,2,9,8
3,2,10,8
3,2,11,8
3,2,12,8
4,1,1,468
4,1,2,468
4,1,3,468
4,1,4,468
4,1,5,468
4,1,6,468
4,1,7,468
4,1,8,468
4,1,9,468
4,1,10,468
4,1,11,468
4,1,12,468
4,2,1,8
4,2,2,8
4,2,3,8
4,2,4,8
4,2,5,8
4,2,6,8
4,2,7,8
4,2,8,8
4,2,9,8
4,2,10,8
4,2,11,8
4,2,12,8
5,1,1,468
5,1,2,468
5,1,3,468
5,1,4,468
5,1,5,468
5,1,6,468
5,1,7,468
5,1,8,468
5,1,9,468
5,1,10,468
5,1,11,468
5,1,12,468
5,2,1,8
5,2,2,8
5,2,3,8
5,2,4,8
5,2,5,8
5,2,6,8
5,2,7,8
5,2,8,8
5,2,9,8
5,2,10,8
5,2,11,8
5,2,12,8
6,1,1,468
6,1,2,468
6,1,3,468
6,1,4,468
6,1,5,468
6,1,6,468
6,1,7,468
6,1,8,468
6,1,9,468
6,1,10,468
6,1,11,468
6,1,12,468
6,2,1,8
6,2,2,8
6,2,3,8
6,2,4,8
6,2,5,8
6,2,6,8
6,2,7,8
6,2,8,8
6,2,9,8
6,2,10,8
6,2,11,8
6,2,12,8
7,1,1,468
7,1,2,468
7,1,3,468
7,1,4,468
7,1,5,468
7,1,6,468
7,1,7,468
7,1,8,468
7,1,9,468
7,1,10,468
7,1,11,468
7,1,12,468
7,2,1,8
7,2,2,8
7,2,3,8
7,2,4,8
7,2,5,8
7,2,6,8
7,2,7,8
7,2,8,8
7,2,9,8
7,2,10,8
7,2,11,8
7,2,12,8
8,1,1,468
8,1,2,468
8,1,3,468
8,1,4,468
8,1,5,468
8,1,6,468
8,1,7,468
8,1,8,468
8,1,9,468
8,1,10,468
8,1,11,468
8,1,12,468
8,2,1,8
8,2,2,8
8,2,3,8
8,2,4,8
8,2,5,8
8,2,6,8
8,2,7,8
8,2,8,8
8,2,9,8
8,2,10,8
8,2,11,8
8,2,12,8
9,1,1,468
9,1,2,468
9,1,3,468
9,1,4,468
9,1,5,468
9,1,6,468
9,1,7,468
