r,t,Capacity
1,1,63981043
1,2,63981043
1,3,63981043
1,4,63981043
1,5,63981043
1,6,63981043
1,7,63981043
1,8,63981043
1,9,63981043
1,10,63981043
1,11,63981043
1,12,63981043
2,1,42654028
2,2,42654028
2,3,42654028
2,4,42654028
2,5,42654028
2,6,42654028
2,7,42654028
2,8,42654028
2,9,42654028
2,10,42654028
2,11,42654028
2,12,42654028
3,1,21327014
3,2,21327014
3,3,21327014
3,4,21327014
3,5,21327014
3,6,21327014
3,7,21327014
3,8,21327014
3,9,21327014
3,10,21327014
3,11,21327014
3,12,21327014
4,1,21327014
4,2,21327014
4,3,21327014
4,4,21327014
4,5,21327014
4,6,21327014
4,7,21327014
4,8,21327014
4,9,21327014
4,10,21327014
4,11,21327014
4,12,21327014
5,1,21327014
5,2,21327014
5,3,21327014
5,4,21327014
5,5,21327014
5,6,21327014
5,7,21327014
5,8,21327014
5,9,21327014
5,10,21327014
5,11,21327014
5,12,21327014
6,1,21327014
6,2,21327014
6,3,21327014
6,4,21327014
6,5,21327014
6,6,21327014
6,7,21327014
6,8,21327014
6,9,21327014
6,10,21327014
6,11,21327014
6,12,21327014
7,1,63981043
7,2,63981043
7,3,63981043
7,4,63981043
7,5,63981043
7,6,63981043
7,7,63981043
7,8,63981043
7,9,63981043
7,10,63981043
7,11,63981043
7,12,63981043
8,1,21327014
8,2,21327014
8,3,21327014
8,4,21327014
8,5,21327014
8,6,21327014
8,7,21327014
8,8,21327014
8,9,21327014
8,10,21327014
8,11,21327014
8,12,21327014
9,1,42654028
9,2,42654028
9,3,42654028
9,4,42654028
9,5,42654028
9,6,42654028
9,7,42654028
9,8,42654028
9,9,42654028
9,10,42654028
9,11,42654028
9,12,42654028
