,Name,Value
0,"Igt[1,1]",-0.0
1,"Ist[1,1]",-0.0
2,"Idt[1,1]",-0.0
3,"Iit[1,1]",-0.0
4,"Iit[1,2]",-0.0
5,"Iit[1,3]",6676.0
6,"Iit[1,4]",6676.0
7,"Iit[1,5]",2395.0
8,"Iit[1,6]",-0.0
9,"Iit[1,7]",6676.0
10,"Iit[1,8]",-0.0
11,"Iit[1,9]",6676.0
12,"Iit[1,10]",13567.0
13,"Iit[1,11]",5548.0
14,"Iit[1,12]",0.0
15,"Iit[1,13]",0.0
16,"Iit[1,14]",-0.0
17,"Iit[1,15]",5548.0
18,"Iit[1,16]",5548.0
19,"Iit[1,17]",20104.0
20,"Iit[1,18]",10052.0
21,"Iit[1,19]",-0.0
22,"Iit[1,20]",5026.0
23,"Iit[1,21]",-0.0
24,"Iit[1,22]",-0.0
25,"Iit[1,23]",-0.0
26,"Iit[1,24]",-0.0
27,"Iit[1,25]",10052.0
28,"Iit[1,26]",-0.0
29,"Iit[1,27]",-0.0
30,"Iit[1,28]",-0.0
31,"Iit[1,29]",4027.0
32,"Iit[1,30]",-0.0
33,"Iit[1,31]",-0.0
34,"Iit[1,32]",12081.0
35,"Iit[1,33]",4027.0
36,"Iit[1,34]",4027.0
37,"Iit[1,35]",4027.0
38,"Iit[1,36]",12081.0
39,"Iit[1,37]",4027.0
40,"Iit[1,38]",4027.0
41,"Iit[1,39]",4027.0
42,"Iit[1,40]",4027.0
43,"Iit[1,41]",7426.0
44,"Iit[1,42]",0.0
45,"Iit[1,43]",7426.0
46,"Iit[1,44]",9628.0
47,"Iit[1,45]",3713.0
48,"Iit[1,46]",-0.0
49,"Iit[1,47]",-0.0
50,"Iit[1,48]",3713.0
51,"Iit[1,49]",-0.0
52,"Iit[1,50]",-0.0
53,"Iit[1,51]",-0.0
54,"Iit[1,52]",11139.0
55,"Iit[1,53]",3713.0
56,"Iit[1,54]",3713.0
57,"Iit[1,55]",3713.0
58,"Iit[1,56]",3713.0
59,"Iit[1,57]",-0.0
60,"Iit[1,58]",7426.0
61,"Iit[1,59]",-0.0
62,"Iit[1,60]",8486.0
63,"Iit[1,61]",8486.0
64,"Iit[1,62]",12729.0
65,"Iit[1,63]",8486.0
66,"Iit[1,64]",12729.0
67,"Iit[1,65]",-0.0
68,"Iit[1,66]",4243.0
69,"Iit[1,67]",8486.0
70,"Iit[1,68]",0.0
71,"Iit[1,69]",-0.0
72,"Iit[1,70]",-0.0
73,"Iit[1,71]",-0.0
74,"Iit[1,72]",4243.0
75,"Iit[1,73]",4243.0
76,"Iit[1,74]",8486.0
77,"Iit[1,75]",-0.0
78,"Iit[1,76]",4243.0
79,"Iit[1,77]",-0.0
80,"Iit[1,78]",-0.0
81,"Iit[1,79]",-0.0
82,"Iit[1,80]",4050.0
83,"Iit[1,81]",8100.0
84,"Iit[1,82]",8100.0
85,"Iit[1,83]",-0.0
86,"Iit[1,84]",8100.0
87,"Iit[1,85]",-0.0
88,"Iit[1,86]",0.0
89,"Iit[1,87]",8100.0
90,"Iit[1,88]",-0.0
91,"Iit[1,89]",-0.0
92,"Iit[1,90]",0.0
93,"Iit[1,91]",4050.0
94,"Iit[1,92]",4050.0
95,"Iit[1,93]",7368.0
96,"Iit[1,94]",3684.0
97,"Iit[1,95]",7368.0
98,"Iit[1,96]",-0.0
99,"Iit[1,97]",0.0
100,"Iit[1,98]",-0.0
101,"Iit[1,99]",-0.0
102,"Iit[1,100]",7368.0
103,"Iit[1,101]",-0.0
104,"Iit[1,102]",-0.0
105,"Iit[1,103]",0.0
106,"Iit[1,104]",4675.0
107,"Iit[1,105]",4675.0
108,"Iit[1,106]",-0.0
109,"Iit[1,107]",4675.0
110,"Iit[1,108]",4675.0
111,"Iit[1,109]",-0.0
112,"Iit[1,110]",-0.0
113,"Iit[1,111]",-0.0
114,"Iit[1,112]",123.0
115,"Iit[1,113]",4675.0
116,"Iit[1,114]",-0.0
117,"Iit[1,115]",49.0
118,"Iit[1,116]",4675.0
119,"Iit[1,117]",4675.0
120,"Iit[1,118]",4675.0
121,"Iit[1,119]",7142.0
122,"Iit[1,120]",-0.0
123,"Iit[1,121]",-0.0
124,"Iit[1,122]",4675.0
125,"Iit[1,123]",4675.0
126,"Iit[1,124]",-0.0
127,"Iit[1,125]",4325.0
128,"Iit[1,126]",4325.0
129,"Iit[1,127]",4325.0
130,"Iit[1,128]",4325.0
131,"Iit[1,129]",4325.0
132,"Iit[1,130]",4325.0
133,"Iit[1,131]",8650.0
134,"Iit[1,132]",-0.0
135,"Iit[1,133]",-0.0
136,"Iit[1,134]",4325.0
137,"Iit[1,135]",4412.0
138,"Iit[1,136]",4325.0
139,"Iit[1,137]",4325.0
140,"Iit[1,138]",4325.0
141,"Iit[1,139]",4325.0
142,"Iit[1,140]",4325.0
143,"Iit[1,141]",-0.0
144,"Iit[1,142]",-0.0
145,"Iit[1,143]",-0.0
146,"Iit[1,144]",0.0
147,"Iit[1,145]",4325.0
148,"Iit[1,146]",4325.0
149,"Iit[1,147]",-0.0
150,"Iit[1,148]",-0.0
151,"Iit[1,149]",-0.0
152,"Iit[1,150]",-0.0
153,"Iit[1,151]",7299.0
154,"Iit[1,152]",3863.0
155,"Iit[1,153]",7726.0
156,"Iit[1,154]",19315.0
157,"Iit[1,155]",-0.0
158,"Iit[1,156]",3863.0
159,"Iit[1,157]",3863.0
160,"Iit[1,158]",3863.0
161,"Iit[1,159]",3863.0
162,"Iit[1,160]",7726.0
163,"Iit[1,161]",3863.0
164,"Iit[1,162]",3863.0
165,"Iit[1,163]",3863.0
166,"Iit[1,164]",7726.0
167,"Iit[1,165]",7726.0
168,"Iit[1,166]",0.0
169,"Iit[1,167]",0.0
170,"Iit[1,168]",0.0
171,"Iit[1,169]",3863.0
172,"Iit[1,170]",3863.0
173,"Iit[1,171]",-0.0
174,"Iit[1,172]",7726.0
175,"Iit[1,173]",30904.0
176,"Iit[1,174]",-0.0
177,"Iit[1,175]",3863.0
178,"Iit[1,176]",7726.0
179,"Iit[1,177]",0.0
180,"Iit[1,178]",-0.0
181,"Iit[1,179]",7606.0
182,"Iit[1,180]",3803.0
183,"Iit[1,181]",3803.0
184,"Iit[1,182]",6819.0
185,"Iit[1,183]",1334.0
186,"Iit[1,184]",4654.0
187,"Iit[1,185]",3803.0
188,"Iit[1,186]",7606.0
189,"Iit[1,187]",0.0
190,"Iit[1,188]",4340.0
191,"Iit[1,189]",7606.0
192,"Iit[1,190]",-0.0
193,"Iit[1,191]",3803.0
194,"Iit[1,192]",3803.0
195,"Iit[1,193]",-0.0
196,"Iit[1,194]",3803.0
197,"Iit[1,195]",7600.0
198,"Iit[1,196]",-0.0
199,"Iit[1,197]",-0.0
200,"Iit[1,198]",3800.0
201,"Iit[1,199]",-0.0
202,"Iit[1,200]",-0.0
203,"Iit[1,201]",3800.0
204,"Iit[1,202]",3800.0
205,"Iit[1,203]",0.0
206,"Iit[1,204]",11400.0
207,"Iit[1,205]",-0.0
208,"Iit[1,206]",6680.0
209,"Iit[1,207]",6680.0
210,"Iit[1,208]",3340.0
211,"Iit[1,209]",3340.0
212,"Iit[1,210]",3340.0
213,"Iit[1,211]",6680.0
214,"Iit[1,212]",3340.0
215,"Iit[1,213]",3340.0
216,"Iit[1,214]",14855.0
217,"Iit[1,215]",14855.0
218,"Iit[1,216]",8913.0
219,"Iit[1,217]",14855.0
220,"Iit[1,218]",14855.0
221,"Iit[1,219]",5942.0
222,"Iit[1,220]",8913.0
223,"Iit[1,221]",14855.0
224,"Iit[1,222]",5942.0
225,"Iit[1,223]",8913.0
226,"Iit[1,224]",0.0
227,"Iit[1,225]",14855.0
228,"Iit[1,226]",0.0
229,"Iit[1,227]",3171.0
230,"Iit[1,228]",3269.0
231,"Iit[1,229]",19026.0
232,"Iit[1,230]",-0.0
233,"Iit[1,231]",-0.0
234,"Iit[1,232]",-0.0
235,"Iit[1,233]",-0.0
236,"Iit[1,234]",3171.0
237,"Iit[1,235]",-0.0
238,"Iit[1,236]",3171.0
239,"Iit[1,237]",19026.0
240,"Iit[1,238]",3171.0
241,"Iit[1,239]",6342.0
242,"Iit[1,240]",6342.0
243,"Iit[1,241]",3171.0
244,"Iit[1,242]",6342.0
245,"Iit[1,243]",3171.0
246,"Iit[1,244]",9513.0
247,"Iit[1,245]",6342.0
248,"Iit[1,246]",15855.0
249,"Iit[1,247]",6342.0
250,"Iit[1,248]",3171.0
251,"Iit[1,249]",3171.0
252,"Iit[1,250]",5654.0
253,"Iit[1,251]",-0.0
254,"Iit[1,252]",5654.0
255,"Iit[1,253]",-0.0
256,"Iit[1,254]",-0.0
257,"Iit[1,255]",5654.0
258,"Iit[1,256]",-0.0
259,"Iit[1,257]",8028.0
260,"Iit[1,258]",8028.0
261,"Iit[1,259]",8028.0
262,"Iit[1,260]",8028.0
263,"Iit[1,261]",8028.0
264,"Iit[1,262]",24084.0
265,"Iit[1,263]",4014.0
266,"Iit[1,264]",24084.0
267,"Iit[1,265]",4014.0
268,"Iit[1,266]",4014.0
269,"Iit[1,267]",8913.0
270,"Iit[1,268]",634.0
271,"Iit[1,269]",0.0
272,"Iit[1,270]",32681.0
273,"Iit[1,271]",-0.0
274,"Iit[1,272]",8913.0
275,"Iit[1,273]",8913.0
276,"Iit[1,274]",8913.0
277,"Iit[1,275]",5942.0
