,Name,Value
0,"N_nurses_it[1,1]",10.0
1,"H_nurses_it[1,1]",10.0
2,"F_nurses_it[1,1]",-0.0
3,"N_nurses_it[1,2]",10.0
4,"H_nurses_it[1,2]",10.0
5,"F_nurses_it[1,2]",-0.0
6,"N_nurses_it[1,3]",10.0
7,"H_nurses_it[1,3]",10.0
8,"F_nurses_it[1,3]",-0.0
9,"N_nurses_it[1,4]",10.0
10,"H_nurses_it[1,4]",10.0
11,"F_nurses_it[1,4]",-0.0
12,"N_nurses_it[1,5]",10.0
13,"H_nurses_it[1,5]",10.0
14,"F_nurses_it[1,5]",-0.0
15,"N_nurses_it[1,6]",10.0
16,"H_nurses_it[1,6]",10.0
17,"F_nurses_it[1,6]",-0.0
18,"N_nurses_it[1,7]",10.0
19,"H_nurses_it[1,7]",10.0
20,"F_nurses_it[1,7]",-0.0
21,"N_nurses_it[1,8]",10.0
22,"H_nurses_it[1,8]",10.0
23,"F_nurses_it[1,8]",-0.0
24,"N_nurses_it[1,9]",10.0
25,"H_nurses_it[1,9]",10.0
26,"F_nurses_it[1,9]",-0.0
27,"N_nurses_it[1,10]",10.0
28,"H_nurses_it[1,10]",10.0
29,"F_nurses_it[1,10]",-0.0
30,"N_nurses_it[1,11]",5.0
31,"H_nurses_it[1,11]",5.0
32,"F_nurses_it[1,11]",-0.0
33,"N_nurses_it[1,12]",5.0
34,"H_nurses_it[1,12]",5.0
35,"F_nurses_it[1,12]",-0.0
36,"N_nurses_it[1,13]",5.0
37,"H_nurses_it[1,13]",5.0
38,"F_nurses_it[1,13]",-0.0
39,"N_nurses_it[1,14]",5.0
40,"H_nurses_it[1,14]",5.0
41,"F_nurses_it[1,14]",-0.0
42,"N_nurses_it[1,15]",5.0
43,"H_nurses_it[1,15]",5.0
44,"F_nurses_it[1,15]",-0.0
45,"N_nurses_it[1,16]",5.0
46,"H_nurses_it[1,16]",5.0
47,"F_nurses_it[1,16]",-0.0
48,"N_nurses_it[1,17]",8.0
49,"H_nurses_it[1,17]",8.0
50,"F_nurses_it[1,17]",-0.0
51,"N_nurses_it[1,18]",8.0
52,"H_nurses_it[1,18]",8.0
53,"F_nurses_it[1,18]",-0.0
54,"N_nurses_it[1,19]",8.0
55,"H_nurses_it[1,19]",8.0
56,"F_nurses_it[1,19]",-0.0
57,"N_nurses_it[1,20]",8.0
58,"H_nurses_it[1,20]",8.0
59,"F_nurses_it[1,20]",-0.0
60,"N_nurses_it[1,21]",8.0
61,"H_nurses_it[1,21]",8.0
62,"F_nurses_it[1,21]",-0.0
63,"N_nurses_it[1,22]",8.0
64,"H_nurses_it[1,22]",8.0
65,"F_nurses_it[1,22]",-0.0
66,"N_nurses_it[1,23]",8.0
67,"H_nurses_it[1,23]",8.0
68,"F_nurses_it[1,23]",-0.0
69,"N_nurses_it[1,24]",8.0
70,"H_nurses_it[1,24]",8.0
71,"F_nurses_it[1,24]",-0.0
72,"N_nurses_it[1,25]",8.0
73,"H_nurses_it[1,25]",8.0
74,"F_nurses_it[1,25]",-0.0
75,"N_nurses_it[1,26]",8.0
76,"H_nurses_it[1,26]",8.0
77,"F_nurses_it[1,26]",-0.0
78,"N_nurses_it[1,27]",8.0
79,"H_nurses_it[1,27]",8.0
80,"F_nurses_it[1,27]",-0.0
81,"N_nurses_it[1,28]",8.0
82,"H_nurses_it[1,28]",8.0
83,"F_nurses_it[1,28]",-0.0
84,"N_nurses_it[1,29]",6.0
85,"H_nurses_it[1,29]",6.0
86,"F_nurses_it[1,29]",-0.0
87,"N_nurses_it[1,30]",6.0
88,"H_nurses_it[1,30]",6.0
89,"F_nurses_it[1,30]",-0.0
90,"N_nurses_it[1,31]",6.0
91,"H_nurses_it[1,31]",6.0
92,"F_nurses_it[1,31]",-0.0
93,"N_nurses_it[1,32]",6.0
