     0     0 7.0747e+09    0 22776 1.8169e+12 7.0747e+09   100%     -    8s
H    0     0                    4.506978e+11 7.0747e+09  98.4%     -    8s
H    0     0                    4.506957e+11 7.0747e+09  98.4%     -    8s
H    0     0                    4.499393e+11 7.0747e+09  98.4%     -    9s
     0     0 7.0762e+09    0 22876 4.4994e+11 7.0762e+09  98.4%     -   12s
H    0     0                    4.499373e+11 7.0762e+09  98.4%     -   13s
H    0     0                    7.827399e+09 7.0762e+09  9.60%     -   21s
     0     0 7.0775e+09    0 23080 7.8274e+09 7.0775e+09  9.58%     -   22s
     0     0 7.0792e+09    0 22874 7.8274e+09 7.0792e+09  9.56%     -   23s
     0     0 7.0801e+09    0 22759 7.8274e+09 7.0801e+09  9.55%     -   23s
     0     0 7.0807e+09    0 22761 7.8274e+09 7.0807e+09  9.54%     -   24s
     0     0 7.0878e+09    0 21684 7.8274e+09 7.0878e+09  9.45%     -   25s
     0     0 7.0997e+09    0 18646 7.8274e+09 7.0997e+09  9.30%     -   26s
     0     0 7.1035e+09    0 21168 7.8274e+09 7.1035e+09  9.25%     -   27s
     0     0 7.1075e+09    0 23681 7.8274e+09 7.1075e+09  9.20%     -   27s
     0     0 7.1119e+09    0 25657 7.8274e+09 7.1119e+09  9.14%     -   29s
     0     0 7.1154e+09    0 27785 7.8274e+09 7.1154e+09  9.10%     -   31s
     0     0 7.1170e+09    0 27201 7.8274e+09 7.1170e+09  9.08%     -   33s
     0     0 7.1170e+09    0 27404 7.8274e+09 7.1170e+09  9.08%     -   34s
     0     0 7.1170e+09    0 27452 7.8274e+09 7.1170e+09  9.08%     -   35s
     0     0 7.1170e+09    0 27481 7.8274e+09 7.1170e+09  9.08%     -   36s
     0     0 7.1193e+09    0 28272 7.8274e+09 7.1193e+09  9.05%     -   41s
     0     0 7.1199e+09    0 28423 7.8274e+09 7.1199e+09  9.04%     -   46s
     0     0 7.1199e+09    0 31824 7.8274e+09 7.1199e+09  9.04%     -   48s
     0     0 7.1199e+09    0 33269 7.8274e+09 7.1199e+09  9.04%     -   49s
     0     0 7.1199e+09    0 33725 7.8274e+09 7.1199e+09  9.04%     -   57s
H    0     0                    7.217664e+09 7.1199e+09  1.35%     -   68s
     0     0 7.1199e+09    0 33296 7.2177e+09 7.1199e+09  1.35%     -   69s
     0     0 7.1199e+09    0 33581 7.2177e+09 7.1199e+09  1.35%     -   77s
     0     0 7.1199e+09    0 33501 7.2177e+09 7.1199e+09  1.35%     -   85s
     0     2 7.1199e+09    0 33494 7.2177e+09 7.1199e+09  1.35%     -  110s
     3     6 7.1214e+09    2 32870 7.2177e+09 7.1202e+09  1.35%  2305  121s
     7    10 7.1215e+09    3 32275 7.2177e+09 7.1204e+09  1.35%  1847  132s
    11    15 7.1210e+09    4 32783 7.2177e+09 7.1205e+09  1.35%  1328  136s
    14    18 7.1216e+09    5 31926 7.2177e+09 7.1205e+09  1.35%  1419  144s
    17    21 7.1211e+09    5 32865 7.2177e+09 7.1205e+09  1.35%  1248  145s
    20    29 7.1212e+09    6 32864 7.2177e+09 7.1205e+09  1.35%  1061  154s
H   28    32                    7.189537e+09 7.1205e+09  0.96%   917  170s
H   29    32                    7.187918e+09 7.1205e+09  0.94%   949  170s
    31    60 7.1214e+09    8 32833 7.1879e+09 7.1205e+09  0.94%   913  184s
    59    81 7.1216e+09   16 32745 7.1879e+09 7.1205e+09  0.94%   543  205s
    80   114 7.1216e+09   22 32752 7.1879e+09 7.1205e+09  0.94%   443  228s
H  112   114                    7.187918e+09 7.1205e+09  0.94%   373  228s
   113   157 7.1216e+09   30 32646 7.1879e+09 7.1205e+09  0.94%   373  264s
H  156   233                    7.187898e+09 7.1205e+09  0.94%   337  314s
H  166   233                    7.187898e+09 7.1205e+09  0.94%   395  314s
H  232   336                    7.182416e+09 7.1205e+09  0.86%   304  356s
H  275   336                    7.179995e+09 7.1205e+09  0.83%   287  356s
H  335   442                    7.176479e+09 7.1205e+09  0.78%   254  393s
H  389   442                    7.176188e+09 7.1205e+09  0.78%   233  393s
   441   548 7.1220e+09   95 30833 7.1762e+09 7.1205e+09  0.78%   216  436s
H  495   548                    7.174160e+09 7.1205e+09  0.75%   202  436s
H  547   669                    7.172711e+09 7.1205e+09  0.73%   195  467s
H  612   669                    7.171629e+09 7.1205e+09  0.71%   186  467s
   668   774 7.1220e+09  154 29463 7.1716e+09 7.1205e+09  0.71%   182  498s
   773   852 7.1220e+09  181 29057 7.1716e+09 7.1205e+09  0.71%   176  534s
H  851   943                    7.171610e+09 7.1205e+09  0.71%   173  567s
H  899   943                    7.171588e+09 7.1205e+09  0.71%   172  567s
H  942  1019                    7.171528e+09 7.1205e+09  0.71%   172  601s
H  985  1019                    7.168981e+09 7.1205e+09  0.68%   174  601s
  1018  1059 7.1221e+09  247 28161 7.1690e+09 7.1205e+09  0.68%   177  643s
H 1040  1059                    7.168862e+09 7.1205e+09  0.68%   177  644s
  1058  1139 7.1221e+09  259 28005 7.1689e+09 7.1205e+09  0.68%   178  686s
  1138  1193 7.1221e+09  283 27882 7.1689e+09 7.1205e+09  0.68%   184  726s
H 1141  1193                    7.168862e+09 7.1205e+09  0.68%   184  726s
  1192  1239 7.1221e+09  300 27733 7.1689e+09 7.1205e+09  0.68%   190  777s
H 1223  1239                    7.168862e+09 7.1205e+09  0.68%   193  777s
  1238  1300 7.1221e+09  311 27622 7.1689e+09 7.1205e+09  0.68%   196  829s
  1299  1385 7.1221e+09  329 27503 7.1689e+09 7.1205e+09  0.68%   198  895s
H 1310  1385                    7.168753e+09 7.1205e+09  0.67%   199  895s
H 1313  1385                    7.165855e+09 7.1205e+09  0.63%   199  895s
H 1384  1431                    7.165814e+09 7.1205e+09  0.63%   205  956s
H 1411  1431                    7.163273e+09 7.1205e+09  0.60%   208  956s
  1430  1485 7.1221e+09  357 27340 7.1633e+09 7.1205e+09  0.60%   211 1035s
H 1437  1485                    7.163253e+09 7.1205e+09  0.60%   211 1035s
H 1438  1485                    7.162196e+09 7.1205e+09  0.58%   211 1035s
H 1464  1485                    7.162097e+09 7.1205e+09  0.58%   212 1035s
  1484  1513 7.1221e+09  370 27302 7.1621e+09 7.1205e+09  0.58%   213 1110s
  1512  1541 7.1222e+09  380 27149 7.1621e+09 7.1205e+09  0.58%   220 1183s
  1540  1559 7.1222e+09  389 27136 7.1621e+09 7.1205e+09  0.58%   227 1249s
H 1550  1559                    7.162090e+09 7.1205e+09  0.58%   229 1249s
  1558  1588 7.1222e+09  394 27068 7.1621e+09 7.1205e+09  0.58%   233 1331s
  1587  1613 7.1222e+09  405 26910 7.1621e+09 7.1205e+09  0.58%   240 1424s
  1612  1630 7.1222e+09  410 26860 7.1621e+09 7.1205e+09  0.58%   251 1518s
  1629  1641 7.1223e+09  416 26867 7.1621e+09 7.1205e+09  0.58%   265 1603s
H 1633  1641                    7.161804e+09 7.1205e+09  0.58%   271 1603s
  1640  1655 7.1223e+09  418 26847 7.1618e+09 7.1205e+09  0.58%   275 1696s
H 1654  1688                    7.161784e+09 7.1205e+09  0.58%   287 1782s
H 1660  1688                    7.160908e+09 7.1205e+09  0.56%   292 1782s
  1687  1711 7.1223e+09  428 26572 7.1609e+09 7.1205e+09  0.56%   301 1879s
H 1698  1711                    7.160558e+09 7.1205e+09  0.56%   306 1879s
  1710  1721 7.1223e+09  429 26568 7.1606e+09 7.1205e+09  0.56%   312 2038s
H 1720  1750                    7.160362e+09 7.1205e+09  0.56%   335 2221s
  1749  1781 7.1226e+09  439 26511 7.1604e+09 7.1205e+09  0.56%   367 2349s
H 1769  1781                    7.160362e+09 7.1205e+09  0.56%   382 2349s
  1780  1798 7.1228e+09  452 26504 7.1604e+09 7.1205e+09  0.56%   387 2503s
  1797  1901 7.1228e+09  455 26494 7.1604e+09 7.1205e+09  0.56%   413 2569s
H 1902  2044                    7.160361e+09 7.1205e+09  0.56%   398 2626s
H 1975  2044                    7.160360e+09 7.1205e+09  0.56%   385 2626s
  2048  2184 7.1228e+09  543 26412 7.1604e+09 7.1205e+09  0.56%   374 2719s
H 2194  2330                    7.160339e+09 7.1205e+09  0.56%   354 2784s
H 2340  2475                    7.160339e+09 7.1205e+09  0.56%   336 2861s
H 2413  2475                    7.160322e+09 7.1205e+09  0.56%   329 2861s
  2486  2576 7.1229e+09  678 26167 7.1603e+09 7.1205e+09  0.56%   322 2931s
H 2587  2722                    7.160302e+09 7.1205e+09  0.56%   314 3009s
  2733  2865 7.1229e+09  777 26108 7.1603e+09 7.1205e+09  0.56%   302 3077s
H 2879  3011                    7.160284e+09 7.1205e+09  0.56%   291 3138s
H 2952  3011                    7.160283e+09 7.1205e+09  0.56%   286 3138s
H 3025  3156                    7.159665e+09 7.1205e+09  0.55%   281 3204s
H 3098  3156                    7.159601e+09 7.1205e+09  0.55%   276 3205s
  3171  3278 7.1230e+09  920 25969 7.1596e+09 7.1205e+09  0.55%   271 3277s
  3293  3424 7.1230e+09  972 25915 7.1596e+09 7.1205e+09  0.55%   264 3329s
  3439  3568 7.1231e+09 1027 25884 7.1596e+09 7.1205e+09  0.55%   255 3381s
H 3585  3714                    7.159579e+09 7.1205e+09  0.55%   247 3442s
  3732  3715 7.1216e+09  135 33501 7.1596e+09 7.1205e+09  0.55%   240 3605s
  3734  3716 7.1224e+09  551 21246 7.1596e+09 7.1205e+09  0.55%   240 3638s
H 3734  3530                    7.157298e+09 7.1205e+09  0.51%   240 3674s
  3736  3532 7.1230e+09  918 20575 7.1573e+09 7.1205e+09  0.51%   240 3676s
  3738  3533 7.1225e+09  796 18691 7.1573e+09 7.1205e+09  0.51%   239 3680s
  3741  3535 7.1225e+09  865 17895 7.1573e+09 7.1205e+09  0.51%   239 3685s
  3743  3536 7.1220e+09  207 18865 7.1573e+09 7.1205e+09  0.51%   239 3690s
  3746  3538 7.1226e+09 1045 19241 7.1573e+09 7.1205e+09  0.51%   239 3695s
  3749  3540 7.1225e+09  855 28586 7.1573e+09 7.1205e+09  0.51%   239 3703s
  3750  3541 7.1216e+09   24 32183 7.1573e+09 7.1205e+09  0.51%   239 3706s
  3752  3542 7.1208e+09    4 33040 7.1573e+09 7.1205e+09  0.51%   239 3726s
  3753  3543 7.1230e+09  871 33439 7.1573e+09 7.1205e+09  0.51%   238 3751s
  3754  3544 7.1221e+09  364 33645 7.1573e+09 7.1205e+09  0.51%   238 3755s
  3756  3545 7.1230e+09  791 33858 7.1573e+09 7.1205e+09  0.51%   238 3761s
  3757  3546 7.1224e+09  650 32225 7.1573e+09 7.1212e+09  0.50%   238 3765s
  3758  3546 7.1220e+09  234 31009 7.1573e+09 7.1220e+09  0.49%   238 3770s
  3760  3548 7.1222e+09   18 31779 7.1573e+09 7.1222e+09  0.49%   238 3778s
  3761  3548 7.1222e+09  260 32188 7.1573e+09 7.1222e+09  0.49%   238 3783s
  3762  3549 7.1230e+09  229 32058 7.1573e+09 7.1230e+09  0.48%   238 3788s
  3763  3550 7.1234e+09  182 32192 7.1573e+09 7.1234e+09  0.47%   238 3794s
  3764  3550 7.1234e+09  587 32879 7.1573e+09 7.1234e+09  0.47%   238 3799s
  3765  3551 7.1234e+09  200 32955 7.1573e+09 7.1234e+09  0.47%   238 3819s
H 3765  3373                    7.156089e+09 7.1234e+09  0.46%   238 3859s
  3767  3374 7.1235e+09  137 33230 7.1561e+09 7.1235e+09  0.46%   238 3865s
  3768  3375 7.1235e+09  218 33855 7.1561e+09 7.1235e+09  0.46%   238 3873s
  3769  3376 7.1236e+09  374 33855 7.1561e+09 7.1236e+09  0.45%   237 3878s
