d,t,Capacity
1,1,1137441
1,2,1137441
1,3,1137441
1,4,1137441
1,5,1137441
1,6,1137441
1,7,1137441
1,8,1137441
1,9,1137441
1,10,1137441
1,11,1137441
1,12,1137441
2,1,2440758
2,2,2440758
2,3,2440758
2,4,2440758
2,5,2440758
2,6,2440758
2,7,2440758
2,8,2440758
2,9,2440758
2,10,2440758
2,11,2440758
2,12,2440758
3,1,5213270
3,2,5213270
3,3,5213270
3,4,5213270
3,5,5213270
3,6,5213270
3,7,5213270
3,8,5213270
3,9,5213270
3,10,5213270
3,11,5213270
3,12,5213270
4,1,1848341
4,2,1848341
4,3,1848341
4,4,1848341
4,5,1848341
4,6,1848341
4,7,1848341
4,8,1848341
4,9,1848341
4,10,1848341
4,11,1848341
4,12,1848341
5,1,6587678
5,2,6587678
5,3,6587678
5,4,6587678
5,5,6587678
5,6,6587678
5,7,6587678
5,8,6587678
5,9,6587678
5,10,6587678
5,11,6587678
5,12,6587678
6,1,2938389
6,2,2938389
6,3,2938389
6,4,2938389
6,5,2938389
6,6,2938389
6,7,2938389
6,8,2938389
6,9,2938389
6,10,2938389
6,11,2938389
6,12,2938389
7,1,3151659
7,2,3151659
7,3,3151659
7,4,3151659
7,5,3151659
7,6,3151659
7,7,3151659
7,8,3151659
7,9,3151659
7,10,3151659
7,11,3151659
7,12,3151659
8,1,1018957
8,2,1018957
8,3,1018957
8,4,1018957
8,5,1018957
8,6,1018957
8,7,1018957
8,8,1018957
8,9,1018957
8,10,1018957
8,11,1018957
8,12,1018957
9,1,1800948
9,2,1800948
9,3,1800948
9,4,1800948
9,5,1800948
9,6,1800948
9,7,1800948
9,8,1800948
9,9,1800948
9,10,1800948
9,11,1800948
9,12,1800948
10,1,2227488
10,2,2227488
10,3,2227488
10,4,2227488
10,5,2227488
10,6,2227488
10,7,2227488
10,8,2227488
10,9,2227488
10,10,2227488
10,11,2227488
10,12,2227488
11,1,2061611
11,2,2061611
11,3,2061611
11,4,2061611
11,5,2061611
11,6,2061611
11,7,2061611
11,8,2061611
11,9,2061611
11,10,2061611
11,11,2061611
11,12,2061611
12,1,2559242
12,2,2559242
12,3,2559242
12,4,2559242
12,5,2559242
12,6,2559242
12,7,2559242
12,8,2559242
12,9,2559242
12,10,2559242
12,11,2559242
12,12,2559242
13,1,3151659
13,2,3151659
13,3,3151659
13,4,3151659
13,5,3151659
13,6,3151659
13,7,3151659
13,8,3151659
13,9,3151659
13,10,3151659
13,11,3151659
13,12,3151659
14,1,2061611
14,2,2061611
14,3,2061611
14,4,2061611
14,5,2061611
14,6,2061611
14,7,2061611
14,8,2061611
14,9,2061611
14,10,2061611
14,11,2061611
14,12,2061611
15,1,3151659
15,2,3151659
15,3,3151659
15,4,3151659
15,5,3151659
15,6,3151659
15,7,3151659
15,8,3151659
15,9,3151659
15,10,3151659
15,11,3151659
15,12,3151659
16,1,3364929
16,2,3364929
16,3,3364929
16,4,3364929
16,5,3364929
16,6,3364929
16,7,3364929
16,8,3364929
16,9,3364929
16,10,3364929
16,11,3364929
16,12,3364929
17,1,3151659
17,2,3151659
17,3,3151659
17,4,3151659
17,5,3151659
17,6,3151659
17,7,3151659
17,8,3151659
17,9,3151659
17,10,3151659
17,11,3151659
17,12,3151659
18,1,2772512
18,2,2772512
18,3,2772512
18,4,2772512
18,5,2772512
18,6,2772512
18,7,2772512
18,8,2772512
18,9,2772512
18,10,2772512
18,11,2772512
18,12,2772512
19,1,2559242
19,2,2559242
19,3,2559242
19,4,2559242
19,5,2559242
19,6,2559242
19,7,2559242
19,8,2559242
19,9,2559242
19,10,2559242
19,11,2559242
19,12,2559242
20,1,2014218
20,2,2014218
20,3,2014218
20,4,2014218
20,5,2014218
20,6,2014218
20,7,2014218
20,8,2014218
20,9,2014218
20,10,2014218
20,11,2014218
20,12,2014218
21,1,3791469
21,2,3791469
21,3,3791469
21,4,3791469
21,5,3791469
21,6,3791469
21,7,3791469
21,8,3791469
21,9,3791469
21,10,3791469
21,11,3791469
21,12,3791469
22,1,2061611
22,2,2061611
22,3,2061611
22,4,2061611
22,5,2061611
22,6,2061611
22,7,2061611
22,8,2061611
22,9,2061611
22,10,2061611
22,11,2061611
22,12,2061611
23,1,3436019
23,2,3436019
23,3,3436019
23,4,3436019
23,5,3436019
23,6,3436019
23,7,3436019
23,8,3436019
23,9,3436019
23,10,3436019
23,11,3436019
23,12,3436019
24,1,3483412
24,2,3483412
24,3,3483412
24,4,3483412
24,5,3483412
24,6,3483412
