i,t,Capacity
1,1,2345972
1,2,2345972
1,3,2345972
1,4,2345972
1,5,2345972
1,6,2345972
1,7,2345972
1,8,2345972
1,9,2345972
1,10,2345972
1,11,2345972
1,12,2345972
2,1,2345972
2,2,2345972
2,3,2345972
2,4,2345972
2,5,2345972
2,6,2345972
2,7,2345972
2,8,2345972
2,9,2345972
2,10,2345972
2,11,2345972
2,12,2345972
3,1,1848341
3,2,1848341
3,3,1848341
3,4,1848341
3,5,1848341
3,6,1848341
3,7,1848341
3,8,1848341
3,9,1848341
3,10,1848341
3,11,1848341
3,12,1848341
4,1,805687
4,2,805687
4,3,805687
4,4,805687
4,5,805687
4,6,805687
4,7,805687
4,8,805687
4,9,805687
4,10,805687
4,11,805687
4,12,805687
5,1,805687
5,2,805687
5,3,805687
5,4,805687
5,5,805687
5,6,805687
5,7,805687
5,8,805687
5,9,805687
5,10,805687
5,11,805687
5,12,805687
6,1,1848341
6,2,1848341
6,3,1848341
6,4,1848341
6,5,1848341
6,6,1848341
6,7,1848341
6,8,1848341
6,9,1848341
6,10,1848341
6,11,1848341
6,12,1848341
7,1,1516588
7,2,1516588
7,3,1516588
7,4,1516588
7,5,1516588
7,6,1516588
7,7,1516588
7,8,1516588
7,9,1516588
7,10,1516588
7,11,1516588
7,12,1516588
8,1,1848341
8,2,1848341
8,3,1848341
8,4,1848341
8,5,1848341
8,6,1848341
8,7,1848341
8,8,1848341
8,9,1848341
8,10,1848341
8,11,1848341
8,12,1848341
9,1,2345972
9,2,2345972
9,3,2345972
9,4,2345972
9,5,2345972
9,6,2345972
9,7,2345972
9,8,2345972
9,9,2345972
9,10,2345972
9,11,2345972
9,12,2345972
10,1,805687
10,2,805687
10,3,805687
10,4,805687
10,5,805687
10,6,805687
10,7,805687
10,8,805687
10,9,805687
10,10,805687
10,11,805687
10,12,805687
11,1,2227488
11,2,2227488
11,3,2227488
11,4,2227488
11,5,2227488
11,6,2227488
11,7,2227488
11,8,2227488
11,9,2227488
11,10,2227488
11,11,2227488
11,12,2227488
12,1,2725118
12,2,2725118
12,3,2725118
12,4,2725118
12,5,2725118
12,6,2725118
12,7,2725118
12,8,2725118
12,9,2725118
12,10,2725118
12,11,2725118
12,12,2725118
13,1,2725118
13,2,2725118
13,3,2725118
13,4,2725118
13,5,2725118
13,6,2725118
13,7,2725118
13,8,2725118
13,9,2725118
13,10,2725118
13,11,2725118
13,12,2725118
14,1,1848341
14,2,1848341
14,3,1848341
14,4,1848341
14,5,1848341
14,6,1848341
14,7,1848341
14,8,1848341
14,9,1848341
14,10,1848341
14,11,1848341
14,12,1848341
15,1,2227488
15,2,2227488
15,3,2227488
15,4,2227488
15,5,2227488
15,6,2227488
15,7,2227488
15,8,2227488
15,9,2227488
15,10,2227488
15,11,2227488
15,12,2227488
16,1,1848341
16,2,1848341
16,3,1848341
16,4,1848341
16,5,1848341
16,6,1848341
16,7,1848341
16,8,1848341
16,9,1848341
16,10,1848341
16,11,1848341
16,12,1848341
17,1,1635071
17,2,1635071
17,3,1635071
17,4,1635071
17,5,1635071
17,6,1635071
17,7,1635071
17,8,1635071
17,9,1635071
17,10,1635071
17,11,1635071
17,12,1635071
18,1,1848341
18,2,1848341
18,3,1848341
18,4,1848341
18,5,1848341
18,6,1848341
18,7,1848341
18,8,1848341
18,9,1848341
18,10,1848341
18,11,1848341
18,12,1848341
19,1,805687
19,2,805687
19,3,805687
19,4,805687
19,5,805687
19,6,805687
19,7,805687
19,8,805687
19,9,805687
19,10,805687
19,11,805687
19,12,805687
20,1,1635071
20,2,1635071
20,3,1635071
20,4,1635071
20,5,1635071
20,6,1635071
20,7,1635071
20,8,1635071
20,9,1635071
20,10,1635071
20,11,1635071
20,12,1635071
21,1,1255924
21,2,1255924
21,3,1255924
21,4,1255924
21,5,1255924
21,6,1255924
21,7,1255924
21,8,1255924
21,9,1255924
21,10,1255924
21,11,1255924
21,12,1255924
22,1,1303318
22,2,1303318
22,3,1303318
22,4,1303318
22,5,1303318
22,6,1303318
22,7,1303318
22,8,1303318
22,9,1303318
22,10,1303318
22,11,1303318
22,12,1303318
23,1,1848341
23,2,1848341
23,3,1848341
23,4,1848341
23,5,1848341
23,6,1848341
23,7,1848341
23,8,1848341
23,9,1848341
23,10,1848341
23,11,1848341
23,12,1848341
24,1,1090047
24,2,1090047
24,3,1090047
24,4,1090047
24,5,1090047
24,6,1090047
24,7,1090047
24,8,1090047
24,9,1090047
24,10,1090047
24,11,1090047
24,12,1090047
25,1,1848341
25,2,1848341
25,3,1848341
25,4,1848341
25,5,1848341
25,6,1848341
25,7,1848341
25,8,1848341
25,9,1848341
25,10,1848341
25,11,1848341
25,12,1848341
26,1,1090047
26,2,1090047
26,3,1090047
26,4,1090047
26,5,1090047
26,6,1090047
26,7,1090047
26,8,1090047
26,9,1090047
26,10,1090047
26,11,1090047
26,12,1090047
27,1,1848341
27,2,1848341
27,3,1848341
27,4,1848341
27,5,1848341
27,6,1848341
27,7,1848341
27,8,1848341
27,9,1848341
27,10,1848341
27,11,1848341
27,12,1848341
28,1,213270
28,2,213270
28,3,213270
28,4,213270
28,5,213270
28,6,213270
28,7,213270
28,8,213270
28,9,213270
28,10,213270
28,11,213270
28,12,213270
29,1,1255924
29,2,1255924
29,3,1255924
29,4,1255924
29,5,1255924
29,6,1255924
29,7,1255924
29,8,1255924
29,9,1255924
29,10,1255924
29,11,1255924
29,12,1255924
30,1,592417
30,2,592417
30,3,592417
30,4,592417
30,5,592417
30,6,592417
30,7,592417
30,8,592417
30,9,592417
30,10,592417
30,11,592417
30,12,592417
31,1,592417
31,2,592417
31,3,592417
31,4,592417
31,5,592417
31,6,592417
31,7,592417
31,8,592417
31,9,592417
31,10,592417
31,11,592417
31,12,592417
32,1,1848341
32,2,1848341
32,3,1848341
32,4,1848341
32,5,1848341
32,6,1848341
32,7,1848341
32,8,1848341
32,9,1848341
32,10,1848341
32,11,1848341
32,12,1848341
33,1,805687
33,2,805687
33,3,805687
33,4,805687
33,5,805687
33,6,805687
33,7,805687
33,8,805687
33,9,805687
33,10,805687
33,11,805687
33,12,805687
34,1,1635071
34,2,1635071
34,3,1635071
34,4,1635071
34,5,1635071
34,6,1635071
34,7,1635071
34,8,1635071
34,9,1635071
34,10,1635071
34,11,1635071
34,12,1635071
35,1,2132701
35,2,2132701
35,3,2132701
35,4,2132701
35,5,2132701
35,6,2132701
35,7,2132701
35,8,2132701
35,9,2132701
35,10,2132701
35,11,2132701
35,12,2132701
36,1,2132701
36,2,2132701
36,3,2132701
36,4,2132701
36,5,2132701
36,6,2132701
36,7,2132701
36,8,2132701
36,9,2132701
36,10,2132701
36,11,2132701
36,12,2132701
37,1,213270
37,2,213270
37,3,213270
37,4,213270
37,5,213270
37,6,213270
37,7,213270
37,8,213270
37,9,213270
37,10,213270
37,11,213270
37,12,213270
38,1,592417
38,2,592417
38,3,592417
38,4,592417
38,5,592417
38,6,592417
38,7,592417
38,8,592417
38,9,592417
38,10,592417
38,11,592417
38,12,592417
39,1,592417
39,2,592417
39,3,592417
39,4,592417
39,5,592417
39,6,592417
39,7,592417
39,8,592417
39,9,592417
39,10,592417
39,11,592417
39,12,592417
40,1,1635071
40,2,1635071
40,3,1635071
40,4,1635071
40,5,1635071
40,6,1635071
40,7,1635071
40,8,1635071
40,9,1635071
40,10,1635071
40,11,1635071
40,12,1635071
41,1,1635071
41,2,1635071
41,3,1635071
41,4,1635071
41,5,1635071
41,6,1635071
41,7,1635071
41,8,1635071
41,9,1635071
41,10,1635071
41,11,1635071
41,12,1635071
42,1,1635071
42,2,1635071
42,3,1635071
42,4,1635071
42,5,1635071
42,6,1635071
42,7,1635071
42,8,1635071
42,9,1635071
42,10,1635071
42,11,1635071
42,12,1635071
43,1,1635071
43,2,1635071
43,3,1635071
43,4,1635071
43,5,1635071
43,6,1635071
43,7,1635071
43,8,1635071
43,9,1635071
43,10,1635071
43,11,1635071
43,12,1635071
44,1,592417
44,2,592417
44,3,592417
44,4,592417
44,5,592417
44,6,592417
44,7,592417
44,8,592417
44,9,592417
44,10,592417
44,11,592417
44,12,592417
45,1,2132701
45,2,2132701
45,3,2132701
45,4,2132701
45,5,2132701
45,6,2132701
45,7,2132701
45,8,2132701
45,9,2132701
45,10,2132701
45,11,2132701
45,12,2132701
46,1,805687
46,2,805687
46,3,805687
46,4,805687
46,5,805687
46,6,805687
46,7,805687
46,8,805687
46,9,805687
46,10,805687
46,11,805687
46,12,805687
47,1,1469194
47,2,1469194
47,3,1469194
47,4,1469194
47,5,1469194
47,6,1469194
47,7,1469194
47,8,1469194
47,9,1469194
47,10,1469194
47,11,1469194
47,12,1469194
48,1,2132701
48,2,2132701
48,3,2132701
48,4,2132701
48,5,2132701
48,6,2132701
48,7,2132701
48,8,2132701
48,9,2132701
48,10,2132701
48,11,2132701
48,12,2132701
49,1,592417
49,2,592417
49,3,592417
49,4,592417
49,5,592417
49,6,592417
49,7,592417
49,8,592417
49,9,592417
49,10,592417
49,11,592417
49,12,592417
50,1,1255924
50,2,1255924
50,3,1255924
50,4,1255924
50,5,1255924
50,6,1255924
50,7,1255924
50,8,1255924
50,9,1255924
