i,j,t,demand
1,1,1,1120
1,1,2,1120
1,1,3,1120
1,1,4,1120
1,1,5,1120
1,1,6,1120
1,1,7,1120
1,1,8,1120
1,1,9,1120
1,1,10,1120
1,1,11,1120
1,1,12,1120
2,1,1,1120
2,1,2,1120
2,1,3,1120
2,1,4,1120
2,1,5,1120
2,1,6,1120
2,1,7,1120
2,1,8,1120
2,1,9,1120
2,1,10,1120
2,1,11,1120
2,1,12,1120
3,1,1,1120
3,1,2,1120
3,1,3,1120
3,1,4,1120
3,1,5,1120
3,1,6,1120
3,1,7,1120
3,1,8,1120
3,1,9,1120
3,1,10,1120
3,1,11,1120
3,1,12,1120
4,1,1,1120
4,1,2,1120
4,1,3,1120
4,1,4,1120
4,1,5,1120
4,1,6,1120
4,1,7,1120
4,1,8,1120
4,1,9,1120
4,1,10,1120
4,1,11,1120
4,1,12,1120
5,1,1,1120
5,1,2,1120
5,1,3,1120
5,1,4,1120
5,1,5,1120
5,1,6,1120
5,1,7,1120
5,1,8,1120
5,1,9,1120
5,1,10,1120
5,1,11,1120
5,1,12,1120
6,1,1,1120
6,1,2,1120
6,1,3,1120
6,1,4,1120
6,1,5,1120
6,1,6,1120
6,1,7,1120
6,1,8,1120
6,1,9,1120
6,1,10,1120
6,1,11,1120
6,1,12,1120
7,1,1,1120
7,1,2,1120
7,1,3,1120
7,1,4,1120
7,1,5,1120
7,1,6,1120
7,1,7,1120
7,1,8,1120
7,1,9,1120
7,1,10,1120
7,1,11,1120
7,1,12,1120
8,1,1,1120
8,1,2,1120
8,1,3,1120
8,1,4,1120
8,1,5,1120
8,1,6,1120
8,1,7,1120
8,1,8,1120
8,1,9,1120
8,1,10,1120
8,1,11,1120
8,1,12,1120
9,1,1,1120
9,1,2,1120
9,1,3,1120
9,1,4,1120
9,1,5,1120
9,1,6,1120
9,1,7,1120
9,1,8,1120
9,1,9,1120
9,1,10,1120
9,1,11,1120
9,1,12,1120
10,1,1,1120
10,1,2,1120
10,1,3,1120
10,1,4,1120
10,1,5,1120
10,1,6,1120
10,1,7,1120
10,1,8,1120
10,1,9,1120
10,1,10,1120
10,1,11,1120
10,1,12,1120
11,1,1,1120
11,1,2,1120
11,1,3,1120
11,1,4,1120
11,1,5,1120
11,1,6,1120
11,1,7,1120
11,1,8,1120
11,1,9,1120
11,1,10,172
11,1,11,0
11,1,12,0
12,1,1,1120
12,1,2,1120
12,1,3,1120
12,1,4,1120
12,1,5,1120
12,1,6,1120
12,1,7,1120
12,1,8,1120
12,1,9,1120
12,1,10,172
12,1,11,0
12,1,12,0
13,1,1,1120
13,1,2,1120
13,1,3,1120
13,1,4,1120
13,1,5,1120
13,1,6,1120
13,1,7,1120
13,1,8,1120
13,1,9,1120
13,1,10,172
13,1,11,0
13,1,12,0
14,1,1,1120
14,1,2,1120
14,1,3,1120
14,1,4,1120
14,1,5,1120
14,1,6,1120
14,1,7,1120
14,1,8,1120
14,1,9,1120
14,1,10,172
14,1,11,0
14,1,12,0
15,1,1,1120
15,1,2,1120
15,1,3,1120
15,1,4,1120
15,1,5,1120
15,1,6,1120
15,1,7,1120
15,1,8,1120
15,1,9,1120
15,1,10,172
15,1,11,0
15,1,12,0
16,1,1,1120
16,1,2,1120
16,1,3,1120
16,1,4,1120
16,1,5,1120
16,1,6,1120
16,1,7,1120
16,1,8,1120
16,1,9,1120
16,1,10,172
16,1,11,0
16,1,12,0
17,1,1,1120
17,1,2,1120
17,1,3,1120
17,1,4,1120
17,1,5,1120
17,1,6,1120
17,1,7,1120
17,1,8,1120
17,1,9,1120
17,1,10,1120
17,1,11,1120
17,1,12,1120
18,1,1,1120
18,1,2,1120
18,1,3,1120
18,1,4,1120
18,1,5,1120
18,1,6,1120
18,1,7,1120
18,1,8,1120
18,1,9,1120
18,1,10,1120
18,1,11,1120
18,1,12,1120
19,1,1,1120
19,1,2,1120
19,1,3,1120
19,1,4,1120
19,1,5,1120
19,1,6,1120
19,1,7,1120
19,1,8,1120
19,1,9,1120
19,1,10,1120
19,1,11,1120
19,1,12,1120
20,1,1,1120
20,1,2,1120
20,1,3,1120
20,1,4,1120
20,1,5,1120
20,1,6,1120
20,1,7,1120
20,1,8,1120
20,1,9,1120
20,1,10,1120
20,1,11,1120
20,1,12,1120
21,1,1,1120
21,1,2,1120
21,1,3,1120
21,1,4,1120
21,1,5,1120
21,1,6,1120
21,1,7,1120
21,1,8,1120
21,1,9,1120
21,1,10,1120
21,1,11,1120
21,1,12,1120
22,1,1,1120
22,1,2,1120
22,1,3,1120
22,1,4,1120
22,1,5,1120
22,1,6,1120
22,1,7,1120
22,1,8,1120
22,1,9,1120
22,1,10,1120
22,1,11,1120
22,1,12,1120
23,1,1,1120
23,1,2,1120
23,1,3,1120
23,1,4,1120
23,1,5,1120
23,1,6,1120
23,1,7,1120
23,1,8,1120
23,1,9,1120
23,1,10,1120
23,1,11,1120
23,1,12,1120
24,1,1,1120
24,1,2,1120
24,1,3,1120
24,1,4,1120
24,1,5,1120
24,1,6,1120
24,1,7,1120
24,1,8,1120
24,1,9,1120
24,1,10,1120
24,1,11,1120
24,1,12,1120
25,1,1,1120
25,1,2,1120
25,1,3,1120
25,1,4,1120
25,1,5,1120
25,1,6,1120
25,1,7,1120
25,1,8,1120
25,1,9,1120
25,1,10,1120
25,1,11,1120
25,1,12,1120
26,1,1,1120
26,1,2,1120
26,1,3,1120
26,1,4,1120
26,1,5,1120
26,1,6,1120
26,1,7,1120
26,1,8,1120
26,1,9,1120
26,1,10,1120
26,1,11,1120
26,1,12,1120
27,1,1,1120
27,1,2,1120
27,1,3,1120
27,1,4,1120
27,1,5,1120
27,1,6,1120
27,1,7,1120
27,1,8,1120
27,1,9,1120
27,1,10,1120
27,1,11,1120
27,1,12,1120
28,1,1,1120
28,1,2,1120
28,1,3,1120
28,1,4,1120
28,1,5,1120
28,1,6,1120
28,1,7,1120
28,1,8,1120
28,1,9,1120
28,1,10,1120
28,1,11,1120
28,1,12,1120
29,1,1,1120
29,1,2,1120
29,1,3,1120
29,1,4,1120
29,1,5,1120
29,1,6,1120
29,1,7,1120
29,1,8,1120
29,1,9,1120
29,1,10,1120
29,1,11,1120
29,1,12,1120
30,1,1,1120
30,1,2,1120
30,1,3,1120
30,1,4,1120
30,1,5,1120
30,1,6,1120
